question_id,question,human_answer,human_attribution,model_answer,model_attribution
1,Wanneer blijft het verstrekken van informatie ingevolge een verzoek onder de Wet openbaarheid van bestuur (WOB) achterwege?,"Het verstrekken van informatie ingevolge deze wet blijft achterwege voor zover dit: a. de eenheid van de Kroon in gevaar zou kunnen brengen; b. de veiligheid van de Staat zou kunnen schaden; c. bedrijfs- en fabricagegegevens betreft, die door natuurlijke personen of rechtspersonen vertrouwelijk aan de overheid zijn meegedeeld; d. persoonsgegevens betreft als bedoeld in de artikelen 9, 10 en 87 van de Algemene verordening gegevensbescherming, tenzij de verstrekking kennelijk geen inbreuk op de persoonlijke levenssfeer maakt. Het verstrekken van informatie ingevolge deze wet blijft eveneens achterwege voor zover het belang daarvan niet opweegt tegen de volgende belangen: a. de betrekkingen van Nederland met andere staten en met internationale organisaties; b. de economische of financiÃ«le belangen van de Staat, de andere publiekrechtelijke lichamen of de in artikel 1a, onder c en d, bedoelde bestuursorganen; c. de opsporing en vervolging van strafbare feiten; d. inspectie, controle en toezicht door bestuursorganen; e. de eerbiediging van de persoonlijke levenssfeer; f. het belang, dat de geadresseerde erbij heeft als eerste kennis te kunnen nemen van de informatie; g. het voorkomen van onevenredige bevoordeling of benadeling van bij de aangelegenheid betrokken natuurlijke personen of rechtspersonen dan wel van derden.","DOC4358, DOC4359",,
2,Wanneer kan het bezwaarschrift worden ingediend voor een WOB (wet openbaarheid van bestuur) verzoek?,"Het bezwaarschrift kan worden ingediend zodra het bestuursorgaan in gebreke is tijdig een besluit te nemen. artikel 6:12, eerste en vierde lid, van de algemene wet bestuursrecht is van overeenkomstige toepassing. Het bestuursorgaan beslist op het verzoek om informatie zo spoedig mogelijk, doch uiterlijk binnen vier weken gerekend vanaf de dag na die waarop het verzoek is ontvangen.","DOC4376, DOC4353",,
3,Wanneer eindigt het referentschap in ieder geval?,"Het referentschap eindigt in ieder geval, indien: a. ten behoeve van het verblijf van de vreemdeling in Nederland een ander als referent optreedt; b. de verblijfsvergunning van de vreemdeling is gewijzigd; c. de vreemdeling in het bezit is gesteld van een verblijfsvergunning voor onbepaalde tijd als bedoeld in artikel 20; d. de vreemdeling Nederlander wordt of krachtens enige wet als Nederlander moet worden behandeld; e. de referent aan Onze Minister overeenkomstig door Onze Minister gestelde regels naar waarheid mededeling heeft gedaan van de beÃ«indiging van diens aan het referentschap ten grondslag liggende relatie tot de vreemdeling, dan wel van het definitieve vertrek van de vreemdeling uit Nederland; f. de vreemdeling is overleden.",DOC2386,,
4,Wanneer kan onze minister de aanvraag tot erkenning als referent of tot wijziging van de erkenning als referent afwijzen?,"Onze Minister kan de aanvraag tot erkenning als referent of tot wijziging van de erkenning als referent afwijzen, indien: a.  de aanvrager, voor zover vereist op grond van de Handelsregisterwet 2007, niet is ingeschreven in het handelsregister, bedoeld in artikel 2 van die wet; b. de continuÃ¯teit en solvabiliteit van de onderneming, rechtspersoon of organisatie onvoldoende is gewaarborgd; c. de betrouwbaarheid van de aanvrager of van de direct of indirect bij die onderneming, rechtspersoon of organisatie betrokken natuurlijke of rechtspersonen of ondernemingen onvoldoende vast staat; d. de erkenning als referent van de aanvrager of van de direct of indirect bij die onderneming, rechtspersoon of organisatie betrokken rechtspersonen of ondernemingen binnen een periode van vijf jaar direct voorafgaand aan de aanvraag is ingetrokken; e. de aanvrager niet voldoet aan de vereisten die verband houden met het doel waarvoor de vreemdeling in Nederland verblijft of wil verblijven, waaronder in ieder geval kan worden verstaan de aansluiting bij en naleving van een gedragscode.","DOC2390, DOC2391",,
5,Wanneer kan onze minister de erkenning als referent intrekken?,"Onze Minister kan de erkenning als referent intrekken, indien: a. de erkenning is verleend op grond van onjuiste of onvolledige gegevens; b. de erkende referent niet langer voldoet aan de voorwaarden voor erkenning; c. de erkende referent zich niet heeft gehouden aan zijn verplichtingen als referent, of d. de erkende referent daarom verzoekt.",DOC2393,,
6,"Wanneer kan onze minister alsnog voorschriften aan een reeds verleende machtiging tot voorlopig verblijf of reeds verleend terugkeervisum verbinden, voorschriften die daaraan zijn verbonden wijzigen, alsnog beperkingen daaraan verbinden, beperkingen wijzigen, de geldigheidsduur inkorten dan wel de machtiging tot voorlopig verblijf of het terugkeervisum intrekken?","Onze Minister kan alsnog voorschriften aan een reeds verleende machtiging tot voorlopig verblijf of reeds verleend terugkeervisum verbinden, voorschriften die daaraan zijn verbonden wijzigen, alsnog beperkingen daaraan verbinden, beperkingen wijzigen, de geldigheidsduur inkorten dan wel de machtiging tot voorlopig verblijf of het terugkeervisum intrekken: a. op aanvraag; b. indien uit naderhand gebleken feiten en omstandigheden komt vast te staan dat verlening ervan onjuist was; c. indien feiten en omstandigheden zodanig zijn gewijzigd dat deze zich verzetten tegen de handhaving of ongewijzigde handhaving van het verleende; of d. indien de vreemdeling de op hem rustende verplichtingen krachtens deze wet niet naleeft.","DOC2399, DOC2400",,
7,Wanneer kan onze minister een aanvraag om een machtiging tot voorlopig verblijf dan wel terugkeervisum buiten behandeling laten zonder de aanvraag in gelegenheid te hebben gesteld de aanvraag aan te vullen?,"In afwijking van artikel 4:5, eerste en vierde lid, van de Algemene wet bestuursrecht kan Onze Minister een aanvraag om een machtiging tot voorlopig verblijf dan wel terugkeervisum buiten behandeling laten zonder de aanvrager in de gelegenheid te hebben gesteld de aanvraag aan te vullen indien: a. de door de vreemdeling ingediende aanvraag niet door de vreemdeling in persoon is ingediend; b. voor de aanvraag in voorkomend geval geen gebruik is gemaakt van een daartoe voorgeschreven formulier dat volledig is ingevuld en ondertekend; c. de aanvraag niet is gesteld in de Nederlandse, Franse of Engelse taal; of d. de ter afdoening van de aanvraag verschuldigde leges niet zijn betaald.",DOC2401,,
8,Wanneer kan onze minister een machtiging tot voorlopig verblijf verlenen aan de vreemdeling?,Onze Minister kan een machtiging tot voorlopig verblijf verlenen aan de vreemdeling ten aanzien van wie is aangetoond dat hij voldoet aan de vereisten voor toegang en verlening van een verblijfsvergunning.,DOC2403,,
9,Wanneer kan een aanvraag tot het verlenen van een reguliere verblijfsvergunning voor bepaalde tijd voor een vreemdeling worden afgewezen?,"Een aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: a. de vreemdeling niet beschikt over een geldige machtiging tot voorlopig verblijf die overeenkomt met het verblijfsdoel waarvoor de verblijfsvergunning is aangevraagd; b. de vreemdeling niet beschikt over een geldig document voor grensoverschrijding; c. de vreemdeling niet zelfstandig en duurzaam beschikt over voldoende middelen van bestaan dan wel, indien de persoon bij wie de vreemdeling wil verblijven, niet zelfstandig en duurzaam beschikt over voldoende middelen van bestaan; d. de vreemdeling een gevaar vormt voor de openbare orde of nationale veiligheid; e. de vreemdeling niet bereid is om medewerking te verlenen aan een medisch onderzoek naar een ziekte aangewezen bij of krachtens de Wet publieke gezondheid, ter bescherming van de volksgezondheid of een medische behandeling tegen een dergelijke ziekte te ondergaan; f. de vreemdeling voor een werkgever arbeid verricht, zonder dat aan de Wet arbeid vreemdelingen is voldaan; g. de vreemdeling niet voldoet aan de beperking, verband houdende met het doel waarvoor hij wil verblijven; h. de vreemdeling, die niet behoort tot een der categorieÃ«n, bedoeld in artikel 17, eerste lid, na verkrijging van rechtmatig verblijf in Nederland inburgeringsplichtig zou zijn op grond van de artikelen 3 en 4 van de Wet inburgering 2021 en niet beschikt over kennis op basisniveau van de Nederlandse taal en de Nederlandse maatschappij; i. de vreemdeling onjuiste gegevens heeft verstrekt dan wel gegevens heeft achtergehouden terwijl die gegevens tot afwijzing van een eerdere aanvraag tot het verlenen, verlengen of wijzigen van een visum of een verblijfsvergunning hebben geleid of zouden hebben geleid; j. de vreemdeling in Nederland verblijf heeft gehouden, anders dan op grond van artikel 8. k. ten behoeve van het verblijf van de vreemdeling geen verklaring van een referent is overgelegd als bedoeld in artikel 2a, eerste lid.","DOC2447, DOC2448",,
10,Wanneer kan een aanvraag tot het verlengen van de geldigheidsduur van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 Vw worden afgewezen?,"Een aanvraag tot het verlengen van de geldigheidsduur van een verblijfsvergunning voor bepaalde tijd als bedoeld in artikel 14 kan worden afgewezen indien: a. de houder daarvan zijn hoofdverblijf buiten Nederland heeft gevestigd; b. de vreemdeling niet beschikt over een geldig document voor grensoverschrijding; c. de vreemdeling onjuiste gegevens heeft verstrekt dan wel gegevens heeft achtergehouden terwijl die gegevens tot afwijzing van de oorspronkelijke aanvraag tot het verlenen of verlengen zouden hebben geleid; d. de vreemdeling niet meer zelfstandig en duurzaam beschikt over voldoende middelen van bestaan dan wel de persoon bij wie de vreemdeling verblijft niet meer zelfstandig en duurzaam beschikt over voldoende middelen van bestaan; e. de vreemdeling een gevaar vormt voor de openbare orde of nationale veiligheid; f. niet wordt voldaan aan de beperking waaronder de vergunning is verleend of een voorschrift dat aan de vergunning is verbonden; g. de vreemdeling voor een werkgever arbeid verricht, zonder dat aan de Wet arbeid vreemdelingen is voldaan; h. ten behoeve van het verblijf van de vreemdeling geen verklaring van een referent is overgelegd als bedoeld in artikel 2a, eerste lid; i. de vreemdeling niet heeft voldaan aan de inburgeringsplicht, bedoeld in artikel 6, eerste lid, van de Wet inburgering 2021.","DOC2455, DOC2456",,
