law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel1,,,,,,,,Artikel 1,,Deze wet is van toepassing op door Onze Ministers verstrekte subsidies waarop ingevolge de Algemene wet bestuursrechttitel 4.2 van die wet van toepassing is.
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel2,,,,,,,,Artikel 2,,"Indien voor een subsidie een datum geldt waarop de activiteiten waarvoor de subsidie is verleend uiterlijk moeten zijn verricht alsmede een datum waarop de subsidie uiterlijk ambtshalve wordt vastgesteld, verbindt Onze Minister die het aangaat aan de subsidiebeschikking de bijzondere meldingsplicht voor de subsidieontvanger om, zodra de eerstgenoemde datum is verstreken zonder dat de activiteiten geheel zijn verricht, daarvan onverwijld een schriftelijke melding te doen bij Onze Minister."
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel3,,,,,,,,Artikel 3,,"Indien bij de verlening van een subsidie tevens voorschotten van in totaal per jaar gemiddeld € 200 000 of meer ambtshalve worden verleend, kan Onze Minister die het aangaat aan de subsidie de bijzondere meldingsplicht verbinden om, indien de gemaakte subsidiabele kosten in bij die beschikking te bepalen periodes 75% of minder bedragen van de voor de desbetreffende periode begrote subsidiabele kosten, dit binnen twee maanden na afloop van die periode schriftelijk te melden bij Onze Minister."
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel4,,,,,,,,Artikel 4,,"Indien aan een subsidie verplichtingen zijn verbonden die strekken tot het voorkomen van inzet van dwangarbeid en kinderarbeid bij subsidiabele activiteiten in het buitenland, kan Onze Minister die het aangaat aan de subsidie tevens de bijzondere meldingsplicht verbinden om feiten en omstandigheden die duiden op inzet van dwangarbeid of kinderarbeid door één of meer van de bij de subsidiabele activiteiten betrokken partijen die in de beschikking tot verlening van de subsidie zijn aangeduid, binnen een daarbij te bepalen termijn schriftelijk te melden. Onder dwangarbeid wordt verstaan gedwongen of verplichte arbeid als bedoeld in artikel 2 van het Verdrag betreffende den gedwongen of verplichten arbeid, 1930. Onder kinderarbeid wordt in elk geval verstaan elke vorm van arbeid in en buiten dienstverband verricht door personen die de leeftijd van 18 jaar nog niet hebben bereikt en die behoort tot de ergste vormen van kinderarbeid, bedoeld in artikel 3, van het Verdrag betreffende de ergste vormen van kinderarbeid, 1999. Indien de subsidiabele activiteiten plaatsvinden op het grondgebied van een Staat die partij is bij het Verdrag betreffende de minimumleeftijd, 1973 wordt voorts onder kinderarbeid verstaan: elke vorm van arbeid die krachtens de wetgeving van die Staat ter uitvoering van dat verdrag is verboden. Indien de subsidiabele activiteiten plaatsvinden op het grondgebied van een Staat die geen partij is bij het Verdrag betreffende de minimumleeftijd, 1973 wordt onder kinderarbeid voorts verstaan: elke vorm van arbeid in en buiten dienstverband verricht door personen die leerplichtig zijn of die de leeftijd van 15 jaar nog niet hebben bereikt, en elke vorm van arbeid in en buiten dienstverband verricht door personen die de leeftijd van 18 jaar nog niet hebben bereikt, voor zover die arbeid krachtens de aard van de arbeid of de omstandigheden waaronder deze wordt uitgevoerd de gezondheid, de veiligheid of de zedelijkheid van jeugdige personen in gevaar kan brengen. In afwijking van het vijfde lid wordt onder kinderarbeid niet verstaan lichte werkzaamheden als bedoeld in artikel 7, eerste lid, van het Verdrag betreffende de minimumleeftijd, 1973, die gedurende ten hoogste 14 uur per week worden verricht door personen die de leeftijd van 13 jaar hebben bereikt. Indien blijkens de subsidie-aanvraag de omstandigheden waaronder de arbeid wordt verricht van dien aard zijn dat ontwikkeling, scholing, gezondheid, veiligheid noch zedelijkheid van de desbetreffende personen hierdoor naar verwachting wordt geschaad kan Onze Minister die het aangaat in de beschikking tot verlening van de subsidie bepalen dat, in afwijking van het vijfde en het zesde lid, onder kinderarbeid niet wordt verstaan: arbeid als bedoeld in het vijfde lid onder a, verricht door personen die nog leerplichtig zijn; arbeid als bedoeld in het vijfde lid onder a, verricht door personen die de leeftijd van 14 jaar hebben bereikt; arbeid als bedoeld in het vijfde lid onder b, verricht door personen die de leeftijd van 16 jaar hebben bereikt; lichte werkzaamheden als bedoeld in het zesde lid, verricht door personen die de leeftijd van 12 jaar hebben bereikt. Onze Minister die het aangaat kan bij toepassing van het zevende lid voorschriften en beperkingen aan de subsidiebeschikking verbinden met het oog op bescherming van de ontwikkeling, scholing, gezondheid, veiligheid en zedelijkheid van de desbetreffende personen."
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel5,,,,,,,,Artikel 5,,"Een beschikking waarbij een bijzondere meldingsplicht als bedoeld in artikel 2, 3 of 4 aan een subsidie wordt verbonden, merkt deze aan als bijzondere meldingsplicht in de zin van deze wet."
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel6,,,,,,,,Artikel 6,,"Het niet voldoen aan de bijzondere meldingsplicht, bedoeld in artikel 2, is een overtreding ter zake waarvan door Onze Minister die het aangaat een bestuurlijke boete kan worden opgelegd van ten hoogste het bedrag van de vierde categorie geldboete, bedoeld in artikel 23, vierde lid, van het Wetboek van Strafrecht. Het niet voldoen aan de bijzondere meldingsplicht, bedoeld in artikel 3 of artikel 4, eerste lid, is een overtreding ter zake waarvan door Onze Minister die het aangaat een bestuurlijke boete kan worden opgelegd van ten hoogste het bedrag van de vijfde categorie geldboete, bedoeld in artikel 23, vierde lid, van het Wetboek van Strafrecht."
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel7,,,,,,,,Artikel 7,,Wijzigt de Wet bestuursrechtspraak bedrijfsorganisatie. Vervallen.
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel8,,,,,,,,Artikel 8,,Onze Minister van Financiën zendt binnen 5 jaar na de inwerkingtreding van deze wet aan de Staten-Generaal een verslag over de doeltreffendheid en de effecten van deze wet in de praktijk.
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel9,,,,,,,,Artikel 9,,Deze wet is niet van toepassing op subsidies die voor de inwerkingtreding van deze wet zijn verstrekt.
BWBR0032155,Wet bestuurlijke boete meldingsplichten door ministers verstrekte subsidies,Artikel10,,,,,,,,Artikel 10,,"Deze wet treedt in werking op een bij koninklijk besluit te bepalen tijdstip, dat voor de verschillende artikelen of onderdelen daarvan verschillend kan worden vastgesteld."
