law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0044578,Wet CO2-heffing industrie,ArtikelI,,,,,,,,Artikel I,,Wijzigt de Wet belastingen op milieugrondslag.
BWBR0044578,Wet CO2-heffing industrie,ArtikelII,,,,,,,,Artikel II,,Wijzigt de Wet milieubeheer.
BWBR0044578,Wet CO2-heffing industrie,ArtikelIII,,,,,,,,Artikel III,,Wijzigt de Algemene wet bestuursrecht.
BWBR0044578,Wet CO2-heffing industrie,ArtikelIV,,,,,,,,Artikel IV,,Wijzigt de Wet belastingen op milieugrondslag.
BWBR0044578,Wet CO2-heffing industrie,ArtikelV,,,,,,,,Artikel V,,Wijzigt de Wet minimum CO2-prijs elektriciteitsopwekking.
BWBR0044578,Wet CO2-heffing industrie,ArtikelVI,,,,,,,,Artikel VI,,Wijzigt de Wet vliegbelasting.
BWBR0044578,Wet CO2-heffing industrie,ArtikelVII,,,,,,,,Artikel VII,,Onze Minister van Financiën zendt in overeenstemming met Onze Minister van Economische Zaken en Klimaat binnen vijf jaar na de inwerkingtreding van deze wet aan de Staten-Generaal een verslag over de doeltreffendheid en de effecten van deze wet in de praktijk.
BWBR0044578,Wet CO2-heffing industrie,ArtikelVIII,,,,,,,,Artikel VIII,,"De exploitant van een industriële installatie stelt, voor zover noodzakelijk, een industrieel monitoringsplan of een industrieel monitoringsmethodiekplan op als bedoeld in artikel 16b.7, respectievelijk artikel 16b.19, van de Wet milieubeheer uiterlijk binnen 4 maanden na inwerkingtreding van deze wet."
BWBR0044578,Wet CO2-heffing industrie,ArtikelIX,,,,,,,,Artikel IX,,Deze wet wordt aangehaald als: Wet CO2-heffing industrie.
BWBR0044578,Wet CO2-heffing industrie,ArtikelX,,,,,,,,Artikel X,,"Deze wet treedt in werking op 1 januari 2021. Indien het bij koninklijke boodschap van 3 juni 2019 ingediende voorstel van wet tot wijziging van de Wet belastingen op milieugrondslag en de Wet milieubeheer voor de invoering van een minimum CO2-prijs bij elektriciteitsopwekking (Wet minimum CO2-prijs elektriciteitsopwekking) (Kamerstukken 35 216) later in werking treedt dan deze wet, treden in afwijking van het eerste lid artikel I, onderdelen B, C, D en E, en artikel II, onderdelen C en D, van deze wet in werking op het tijdstip dat het bij koninklijke boodschap van 3 juni 2019 ingediende voorstel van wet tot wijziging van de Wet belastingen op milieugrondslag en de Wet milieubeheer voor de invoering van een minimum CO2-prijs bij elektriciteitsopwekking (Wet minimum CO2-prijs elektriciteitsopwekking) (Kamerstukken 35 216) in werking treedt. In afwijking van het eerste lid treedt artikel IV in werking op het tijdstip dat hoofdstuk 5 van de Omgevingswet in werking treedt."
