DOC_ID,law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
DOC0001,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel1,,Artikel1,,,Algemene bepalingen,Artikel 1,,"allen die zich in nederland bevinden, zijn vrij en bevoegd tot het genot van de burgerlijke rechten. persoonlijke dienstbaarheden, van welke aard of onder welke benaming ook, worden niet geduld."
DOC0002,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel1,,Artikel2,,,Algemene bepalingen,Artikel 2,,"het kind waarvan een vrouw zwanger is wordt als reeds geboren aangemerkt, zo dikwijls zijn belang dit vordert. komt het dood ter wereld, dan wordt het geacht nooit te hebben bestaan."
DOC0003,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel1,,Artikel3,,,Algemene bepalingen,Artikel 3,,"de graad van bloedverwantschap wordt bepaald door het getal der geboorten, die de bloedverwantschap hebben veroorzaakt. hierbij telt een erkenning, een gerechtelijke vaststelling van het ouderschap of een adoptie als een geboorte. door huwelijk of door geregistreerd partnerschap ontstaat tussen de ene echtgenoot dan wel de ene geregistreerde partner en een bloedverwant van de andere echtgenoot dan wel de andere geregistreerde partner aanverwantschap in dezelfde graad als er bloedverwantschap bestaat tussen de andere echtgenoot dan wel de andere geregistreerde partner en diens bloedverwant. door het eindigen van het huwelijk of geregistreerd partnerschap wordt de aanverwantschap niet opgeheven."
DOC0004,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel4,,,Het recht op de naam,Artikel 4,,"een ieder heeft de voornamen die hem in zijn geboorteakte zijn gegeven. de ambtenaar van de burgerlijke stand weigert in de geboorteakte voornamen op te nemen die ongepast zijn, of overeenstemmen met bestaande geslachtsnamen tenzij deze tevens gebruikelijke voornamen zijn. geeft de aangever geen voornamen op, of worden deze alle geweigerd zonder dat de aangever ze door een of meer andere vervangt, dan geeft de ambtenaar ambtshalve het kind een of meer voornamen, en vermeldt hij uitdrukkelijk in de akte dat die voornamen ambtshalve zijn gegeven. wijziging van de voornamen kan op verzoek van de betrokken persoon of zijn wettelijke vertegenwoordiger worden gelast door de rechtbank. de wijziging geschiedt doordat van de beschikking een latere vermelding aan de akte van geboorte wordt toegevoegd, overeenkomstig artikel 20a, eerste lid. in geval van wijziging van de voornamen van een buiten nederland geboren persoon geeft de rechtbank die de beschikking geeft, voor zoveel"
DOC0005,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel4,,,Het recht op de naam,Artikel 4,,"nodig ambtshalve hetzij een last tot inschrijving van de akte van geboorte dan wel van de akte of de uitspraak, bedoeld in artikel 25g, eerste lid, hetzij de in artikel 25c bedoelde beschikking."
DOC0006,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"indien een kind alleen in familierechtelijke betrekking tot de moeder staat, heeft het haar geslachtsnaam. indien een kind door adoptie alleen in familierechtelijke betrekking tot de vader staat, heeft het zijn geslachtsnaam. indien een kind door erkenning in familierechtelijke betrekking tot de vader komt te staan, houdt het de geslachtsnaam van de moeder, tenzij de moeder en de erkenner ter gelegenheid van de erkenning gezamenlijk verklaren dat het kind de geslachtsnaam van de vader zal hebben of van beide ouders in een vrij te bepalen volgorde. van deze verklaring wordt melding gemaakt in de akte van erkenning. de eerste twee volzinnen zijn van overeenkomstige toepassing bij erkenning van een ongeboren kind. de ouders kunnen evenwel ter gelegenheid van de voltrekking van hun huwelijk of van de registratie van hun partnerschap alsnog gezamenlijk verklaren, dat hun kind voortaan de geslachtsnaam van de andere ouder zal hebben of van beide ouders in"
DOC0007,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"een vrij te bepalen volgorde. van deze verklaring wordt een akte van naamskeuze opgemaakt. indien een kind door gerechtelijke vaststelling van het vaderschap in familierechtelijke betrekking tot de vader komt te staan, houdt het de geslachtsnaam van de moeder, tenzij de moeder en de man, wiens vaderschap is vastgesteld, ter gelegenheid van de vaststelling gezamenlijk verklaren dat het kind de geslachtsnaam van de vader zal hebben of van beide ouders in een vrij te bepalen volgorde. de rechterlijke uitspraak inzake de vaststelling van het vaderschap vermeldt de verklaring van de ouders omtrent de geslachtsnaamkeuze. indien een kind door adoptie in familierechtelijke betrekking komt te staan tot beide adoptanten van verschillend geslacht, die met elkaar zijn gehuwd, heeft het kind de geslachtsnaam van de vader, tenzij de adoptanten ter gelegenheid van de adoptie gezamenlijk verklaren dat het kind de geslachtsnaam van de moeder, de oorspronkelijke geslachtsnaam of de geslachtsnaam van beide"
DOC0008,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"adoptanten in een vrij te bepalen volgorde of van één van hen in combinatie met de oorspronkelijke geslachtsnaam van het kind in een vrij te bepalen volgorde zal hebben. indien de adoptanten niet met elkaar gehuwd zijn of indien beide adoptanten van hetzelfde geslacht zijn en met elkaar gehuwd zijn, houdt het kind de geslachtsnaam die het heeft, tenzij de adoptanten ter gelegenheid van de adoptie gezamenlijk verklaren dat het een van hun beider geslachtsnamen zal hebben of van hun beiden in een vrij te bepalen volgorde of van één van hen in combinatie met de oorspronkelijke geslachtsnaam van het kind in een vrij te bepalen volgorde. indien een kind door adoptie in familierechtelijke betrekking tot de echtgenoot, geregistreerde partner of andere levensgezel van een ouder komt te staan, houdt het zijn geslachtsnaam, tenzij de ouder en diens echtgenoot, geregistreerde partner of andere levensgezel gezamenlijk verklaren dat het kind de"
DOC0009,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"geslachtsnaam zal hebben van die ouder dan wel de geslachtsnaam van de echtgenoot, geregistreerde partner of andere levensgezel of van hun beiden in een vrij te bepalen volgorde of van één van hen in combinatie met de oorspronkelijke geslachtsnaam van het kind in een vrij te bepalen volgorde, dan wel de geslachtsnaam van die ouder. de rechterlijke uitspraak inzake de adoptie vermeldt de verklaring van de adoptanten omtrent de geslachtsnaamkeuze. indien een kind door geboorte in familierechtelijke betrekking tot beide ouders komt te staan, verklaren de ouders gezamenlijk voor of ter gelegenheid van de aangifte van de geboorte welke geslachtsnaam het kind zal hebben. dat kan de geslachtsnaam zijn van één van de ouders of de geslachtsnamen van beide ouders in een vrij te bepalen volgorde. van de verklaring van de ouders die voor de aangifte van de geboorte wordt afgelegd, wordt een akte van naamskeuze opgemaakt. van de verklaring"
DOC0010,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"van de ouders die ter gelegenheid van de aangifte van de geboorte wordt afgelegd, wordt melding gemaakt in de akte van geboorte. het voorgaande is van overeenkomstige toepassing indien een ouder en zijn echtgenoot of geregistreerde partner die niet de ouder is, van rechtswege gezamenlijk het gezag als bedoeld in artikel 253sa over het kind zullen uitoefenen of uitoefenen. de verklaring die niet ter gelegenheid van de aangifte van de geboorte wordt afgelegd, kan ten overstaan van iedere ambtenaar van de burgerlijke stand worden afgelegd. wordt een verklaring houdende naamskeuze, bedoeld in het vierde lid, voor of ter gelegenheid van de aangifte van de geboorte afgelegd, dan heeft het kind de gekozen naam vanaf de geboorte. geschiedt de naamskeuze niet uiterlijk ter gelegenheid van de aangifte van de geboorte, dan neemt de ambtenaar van de burgerlijke stand als geslachtsnaam van het kind in de geboorteakte op: de geslachtsnaam van de"
DOC0011,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"vader in geval het kind door geboorte in familierechtelijke betrekking tot beide ouders komt te staan; de geslachtsnaam van de moeder in geval een ouder en zijn echtgenoot of geregistreerde partner die niet de ouder is, van rechtswege gezamenlijk het gezag als bedoeld in artikel 253sa over het kind uitoefenen. indien de moeder na de geboorte van het kind op grond van artikel 199, onderdeel b, het vaderschap van de overleden echtgenoot of geregistreerde partner ontkent of op grond van artikel 198, tweede lid, het moederschap van de overleden echtgenote of geregistreerde parnter ontkent en zij ten tijde van de geboorte en van de ontkenning is hertrouwd of een nieuw partnerschap heeft laten registreren, kunnen de moeder en haar echtgenoot of geregistreerde partner gezamenlijk ter gelegenheid van de ontkenning verklaren welke geslachtsnaam het kind zal hebben. dat kan de geslachtsnaam zijn van de moeder of de echtgenoot of echtgenote of"
DOC0012,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"geregistreerde partner, of van beide in een vrij te bepalen volgorde. van deze verklaring wordt een akte van naamskeuze opgemaakt. bij gebreke van een verklaring heeft het kind de geslachtsnaam van de echtgenoot of geregistreerde partner. indien een kind op het tijdstip van het ontstaan van de familierechtelijke betrekking met beide ouders zestien jaar of ouder is, verklaart het zelf ten overstaan van de ambtenaar van de burgerlijke stand of van de notaris of, in geval van adoptie of gerechtelijke vaststelling van het vaderschap, ten overstaan van de rechter of het de geslachtsnaam van de ene of de andere ouder zal hebben of van beide ouders in een vrij te bepalen volgorde of bij adoptie, een geslachtsnaam die is gekozen overeenkomstig het derde lid. van deze verklaring wordt melding gemaakt in de akte van erkenning of in de rechterlijke uitspraak inzake adoptie of gerechtelijke vaststelling van het vaderschap. een verklaring"
DOC0013,BWBR0002656,Burgerlijk Wetboek Boek 1,Boek1,,Titeldeel2,,Artikel5,,,Het recht op de naam,Artikel 5,,"van de ouders als bedoeld in het tweede, vierde of zesde lid, kan slechts ten aanzien van de geslachtsnaam van hun eerste kind worden afgelegd. de eerste volzin is van overeenkomstige toepassing ten aanzien van het eerste kind over wie de ouder en zijn echtgenoot of geregistreerde partner die niet de ouder is, van rechtswege gezamenlijk het gezag als bedoeld in artikel 253sa zullen uitoefenen of uitoefenen. onverminderd het zevende lid, hebben volgende kinderen van dezelfde ouders dan wel kinderen over wie dezelfde ouder en dezelfde echtgenoot of geregistreerde partner die niet de ouder is, van rechtswege het gezag gezamenlijk zullen uitoefenen, dezelfde geslachtsnaam als het eerste kind, met dien verstande dat in het geval dat volgende kinderen blijkens de geboorteakte of krachtens toepasselijk recht een naam hebben die afwijkt van de naam van het eerste kind, de ouders kunnen verklaren dat het desbetreffende kind dezelfde geslachtsnaam zal hebben als"
