law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk1,Algemene bepalingen,Paragraaf1,,Artikel1,Begripsbepalingen,,,Artikel 1,,"In deze wet en de daarop berustende bepalingen wordt verstaan onder: Onze Minister: Onze Minister van Economische Zaken en Klimaat; aansluiting: één of meer verbindingen tussen een net en een onroerende zaak als bedoeld in artikel 16, onderdelen a tot en met e, van de Wet waardering onroerende zaken, waaronder begrepen één of meer verbindingen tussen een net dat wordt beheerd door een netbeheerder en een net dat beheerd wordt door een ander dan die netbeheerder en tussen het net op zee en een windpark op zee; afnemer: een ieder, met uitzondering van de netbeheerder van het net op zee, die beschikt over een aansluiting op een net; verordening 2019/943: verordening 2019/943 van het Europees Parlement en de Raad van 5 juni 2019 betreffende de interne markt voor elektriciteit (Pb EU 2019, L 158); Autoriteit Consument en Markt: de Autoriteit Consument en Markt, genoemd in artikel 2, eerste lid, van de Instellingswet Autoriteit Consument en Markt; leverancier: een organisatorische eenheid die zich bezighoudt met het leveren van elektriciteit; producent: een organisatorische eenheid die zich bezighoudt met het opwekken van elektriciteit; handelaar: een organisatorische eenheid die zich bezighoudt met het sluiten van overeenkomsten betreffende de koop en verkoop van elektriciteit; net: één of meer verbindingen voor het transport van elektriciteit en de daarmee verbonden transformator-, schakel-, verdeel- en onderstations en andere hulpmiddelen, behoudens voor zover deze verbindingen en hulpmiddelen onderdeel uitmaken van een directe lijn of liggen binnen de installatie van een producent of van een afnemer; landelijk hoogspanningsnet: het net, bedoeld in artikel 10, eerste lid; netbeheerder: een vennootschap die op grond van artikel 10, 13, 14 of 15a is aangewezen voor het beheer van een of meer netten; vergunninghouder: een houder van een vergunning als bedoeld in artikel 95a; richtlijn: richtlijn nr. 2009/72/EG van het Europees Parlement en de Raad van 13 juli 2009 betreffende gemeenschappelijke regels voor de interne markt voor elektriciteit en tot intrekking van Richtlijn 2003/54/EG (Pb EU 2009, L 211); notificatierichtlijn: richtlijn (EU) nr. 2015/1535 van het Europees Parlement en de Raad van 9 september 2015 betreffende een informatieprocedure op het gebied van technische voorschriften en regels betreffende de diensten van de informatiemaatschappij (codificatie) (PbEU 2015, L 241); programma-verantwoordelijkheid: de verantwoordelijkheid van afnemers, niet zijnde afnemers als bedoeld in artikel 95a, eerste lid, de netbeheerder van het net op zee en vergunninghouders om programma's met betrekking tot de productie, het transport en het verbruik van elektriciteit op te stellen of te doen opstellen ten behoeve van de netbeheerders en zich met inachtneming van de voorwaarden, bedoeld in artikel 31, te gedragen overeenkomstig die programma's; systeemdiensten: de diensten die de netbeheerder van het landelijk hoogspanningsnet uitvoert om het transport van elektriciteit over alle netten op een veilige en doelmatige wijze te waarborgen, om grootschalige onderbrekingen van het transport van elektriciteit op te lossen, en om de energiebalans op alle netten te handhaven of te herstellen; vervallen; verwant bedrijf: een verbonden onderneming in de zin van artikel 41 van de zevende richtlijn nr. 83/349/EEG van de Raad van 13 juni 1983 op de grondslag van artikel 44, tweede lid, onderdeel g, van het Verdrag betreffende de geconsolideerde jaarrekening, of een geassocieerde onderneming in de zin van artikel 33, eerste lid, daarvan of een onderneming die aan dezelfde aandeelhouders toebehoort; biomassa: de biologisch afbreekbare fractie van producten, afvalstoffen en residuen van biologische oorsprong uit de landbouw – met inbegrip van plantaardige en dierlijke stoffen –, de bosbouw en aanverwante bedrijfstakken, met inbegrip van de visserij en de aquacultuur alsmede de biologisch afbreekbare fractie van industrieel en huishoudelijk afval; hernieuwbare energiebronnen: wind, zonne-energie, omgevingslucht-, oppervlaktewater- en aardwarmte, energie uit de oceanen, waterkracht, biomassa, stortgas, rioolwaterzuiveringsgas en biogas; duurzame elektriciteit: elektriciteit, opgewekt in productie-installaties die uitsluitend gebruikmaken van hernieuwbare energiebronnen, alsmede elektriciteit die is opgewekt met hernieuwbare energiebronnen in hybride productie-installaties die ook met conventionele energiebronnen werken, met inbegrip van elektriciteit die is opgewekt met hernieuwbare energiebronnen en die wordt gebruikt voor accumulatiesystemen, en met uitzondering van elektriciteit die afkomstig is van accumulatiesystemen; klimaatneutrale elektriciteit: elektriciteit, opgewekt in een productie-installatie waarin waterstof of elektriciteit wordt geproduceerd uit fossiele energiedragers, waarbij de koolstof of kooldioxide die vrijkomt bij het omzettingsproces, nuttig wordt toegepast of blijvend in de ondergrond wordt opgeslagen, en waarvoor een bij ministeriële regeling omschreven verklaring is verkregen; warmtekrachtkoppeling: de gecombineerde opwekking van warmte en elektriciteit of mechanische energie door verstoking van een brandstof, waarvan de warmte nuttig gebruikt wordt, anders dan voor de productie van elektriciteit; garantie van oorsprong voor duurzame elektriciteit: gegevens op een rekening die betrekking hebben op duurzame elektriciteit en waarmee wordt aangetoond dat een producent met zijn installatie een hoeveelheid duurzame elektriciteit heeft opgewekt; rekening: staat waarop een tegoed van garanties van oorsprong of certificaten van oorsprong kan worden geboekt in het elektronische systeem voor het uitgeven en innemen van garanties van oorsprong of certificaten van oorsprong en waarmee wordt bijgehouden voor welke hoeveelheid elektriciteit garanties van oorsprong of certificaten van oorsprong zijn verstrekt en aan wie de garanties van oorsprong of certificaten van oorsprong op enig moment toekomen; garantiebeheerinstantie: de op grond van artikel 73, tweede lid, aangewezen instantie; economische eigendom: het krachtens een rechtsverhouding gerechtigd zijn tot alle rechten en bevoegdheden ten aanzien van een goed, met uitzondering van het recht op levering, en het gehouden zijn om alle verplichtingen ten aanzien van dat goed voor zijn rekening te nemen en daarmee het volledige risico van waardeverandering of tenietgaan van het goed te dragen, zonder dat het goed geleverd is; installatie voor hoogrenderende warmtekrachtkoppeling: installatie voor de opwekking van elektriciteit door middel van warmtekrachtkoppeling in de zin van artikel 2, punt 34, van richtlijn 2012/27/EU van het Europees Parlement en de Raad van 25 oktober 2012 betreffende energie-efficiëntie, tot wijziging van Richtlijnen 2009/125/EG en 2010/30/EU en houdende intrekking van de Richtlijnen 2004/8/EG en 2006/32/EG (PbEU 2012, L 315); garantie van oorsprong voor elektriciteit opgewekt in een installatie voor hoogrenderende warmtekrachtkoppeling: gegevens op een rekening die betrekking hebben op elektriciteit opgewekt door middel van hoogrenderende warmtekrachtkoppeling, waarmee wordt aangetoond dat een producent met zijn installatie een hoeveelheid elektriciteit door middel van hoogrenderende warmtekrachtkoppeling heeft opgewekt en op een net heeft ingevoed; leveringszekerheid: het vermogen van een net om elektriciteit te leveren aan afnemers; operationele netwerkveiligheid: het vermogen van het landelijk hoogspanningsnet om in voorzienbare omstandigheden operationeel te blijven; meetinrichting: het gehele samenstel van apparatuur dat ten minste tot doel heeft de uitgewisselde elektriciteit te meten; meetbedrijf: een organisatorische eenheid die zich bezighoudt met het collecteren, valideren en vaststellen van meetgegevens betreffende elektriciteit; productie-installatie: een installatie, bestaande uit één of meer productie-eenheden, voor de opwekking van elektriciteit. dit onderdeel is nog niet in werking getreden; dit onderdeel is nog niet in werking getreden; dit onderdeel is nog niet in werking getreden; verordening 2019/942: verordening 2019/942 van het Europees Parlement en de Raad van 5 juni 2019 tot oprichting van een Agentschap van de Europese Unie voor de samenwerking tussen energieregulators (Pb EU 2019, L 158); Acer: agentschap als bedoeld in artikel 1, eerste lid, van verordening 2019/942; producent van gas: een producent als bedoeld in artikel 1, onderdeel ag, van de Gaswet; leverancier van gas: een leverancier als bedoeld in artikel 1, onderdeel ah, van de Gaswet; handelaar in gas: een handelaar als bedoeld in artikel 1, onderdeel ai, van de Gaswet; gesloten distributiesysteem: een net waarvoor op grond van artikel 15 ontheffing is verleend; directe lijn: een of meer verbindingen voor het transport van elektriciteit, behoudens voor zover die gelegen is binnen een installatie, die: niet verbonden is met een net of met een andere verbinding voor het transport van elektriciteit en die een geïsoleerde productie-installatie van een producent rechtstreeks verbindt met een geïsoleerde verbruiker van elektriciteit, niet zijnde de producent of ten hoogste via de installatie van één aangeslotene op de verbinding is verbonden met een net of met een andere verbinding voor het transport van elektriciteit en die een productie-installatie van een producent, met tussenkomst van een leverancier, rechtstreeks verbindt met één of meer verbruikers van elektriciteit, niet zijnde de producent of in hoofdzaak huishoudelijke verbruikers, teneinde te voorzien in de elektriciteitsbehoefte van deze verbruikers; landsgrensoverschrijdend net: een net dat de grens tussen ten minste twee landen overschrijdt en dat de netten van die landen onderling koppelt; interconnector-beheerder: een beheerder van een landsgrensoverschrijdend net dat geen deel uitmaakt van het landelijk hoogspanningsnet; verordening 1227/2011: verordening (EU) nr. 1227/2011 van het Europees Parlement en de Raad van 25 oktober 2011 betreffende de integriteit en transparantie van de groothandelsmarkt voor energie (PbEU 2011, L 326), alsmede de door de Europese Commissie vastgestelde gedelegeerde en uitvoeringshandelingen op grond van verordening 1227/2011; marktdeelnemer: een marktdeelnemer als bedoeld in artikel 2, zevende lid, van verordening 1227/2011; Autoriteit Financiële Markten: de Autoriteit Financiële Markten, genoemd in artikel 1:1 van de Wet op het financieel toezicht; bindende gedragslijn: een zelfstandige last die niet wegens een overtreding wordt opgelegd; zelfstandige last: de enkele last tot het verrichten van bepaalde handelingen, bedoeld in artikel 5:2, tweede lid, van de Algemene wet bestuursrecht, ter bevordering van de naleving van wettelijke voorschriften; windpark: een installatie voor de productie van elektriciteit met behulp van windenergie in hoofdzaak bestaande uit één of meer windmolens; net op zee: het net, bedoeld in artikel 15a, eerste lid; certificaat van oorsprong: gegevens op een rekening waarmee wordt aangetoond uit welke energiebron, niet zijnde een hernieuwbare energiebron, een hoeveelheid elektriciteit is opgewekt; verordening 2019/941: verordening 2019/941 van het Europees Parlement en de Raad van 5 juni 2019 betreffende risicoparaatheid in de elektriciteitssector en tot intrekking van Richtlijn 2005/89/EG (Pb EU 2019, L 158). Voor de toepassing van het bij of krachtens deze wet bepaalde wordt als afnemer, niet zijnde een afnemer als bedoeld in artikel 95a, eerste lid, beschouwd een organisatorische eenheid die zich in hoofdzaak bezig houdt met het openbaar vervoer per metro, tram of trolley, met mijnbouwkundige activiteiten, met het beheer en de exploitatie van telecommunicatie- en kabelnetwerken, met het beheer van de openbare verlichting of van verkeersregelinstallaties, dan wel met riolering, bemaling, waterzuivering of transport en distributie van water, mits: deze eenheid daarbij uitsluitend ingevolge de technische aard van de bedrijfsuitoefening beschikt over verscheidene aansluitingen, het totale aan de eenheid voor die bedrijfsuitoefening beschikbaar gestelde vermogen meer bedraagt dan 2 MVA en de bedrijfsuitoefening door deze eenheid op fysiek geïntegreerde basis geschiedt. Een onderneming die zich in hoofdzaak bezighoudt met het vervoer van personen of goederen per trein wordt in afwijking van het eerste lid, onderdeel c, aangemerkt als afnemer, niet zijnde een afnemer als bedoeld in artikel 95a, eerste lid, ook indien zij geen aansluiting heeft op een net. Voor de toepassing van het bij of krachtens deze wet bepaalde worden meerdere onroerende zaken als bedoeld in artikel 16, onderdeel c, van de Wet waardering onroerende zaken die zich bevinden in een bouwwerk met: een woonfunctie bestemd voor bewoners die zijn ingeschreven aan een instelling als bedoeld in artikel 1.1.1 van de Wet educatie en beroepsonderwijs of aan een universiteit of hogeschool als bedoeld in artikel 1.2, onderdelen a en b, van de Wet op het hoger onderwijs en wetenschappelijk onderzoek of die zich voorbereiden op een promotie als bedoeld in artikel 7.18 van laatstgenoemde wet, een woonoppervlak van maximaal 50 vierkante meter per wooneenheid en gemeenschappelijke ruimtes die een meeromvattende functie hebben dan de reguliere functie van gemeenschappelijke ruimten in een appartementencomplex, beschouwd als één onroerende zaak als bedoeld in artikel 16 van de Wet waardering onroerende zaken indien de eigenaar hierom verzoekt bij de netbeheerder. Een verzoek kan slechts worden ingetrokken ingeval van ingrijpende renovatie van het bouwwerk. Deze wet en de daarop berustende bepalingen zijn mede van toepassing op het net op zee dat is gelegen binnen de Nederlandse exclusieve economische zone, landsgrensoverschrijdende netten die zijn gelegen binnen de Nederlandse exclusieve economische zone en op installaties voor de opwekking van elektriciteit die zijn gevestigd binnen de Nederlandse exclusieve economische zone, alsmede de daarmee opgewekte elektriciteit. Productie-installaties voor de opwekking van elektriciteit met behulp van windenergie of zonne-energie op het land die behoren tot eenzelfde onderneming of instelling en die onderling technische, organisatorische of functionele bindingen hebben en in elkaars onmiddelijke nabijheid zijn gelegen, worden geacht te beschikken over één aansluiting. De netbeheerder en de producent kunnen meerdere aansluitingen overeenkomen indien dit tot lagere kosten voor de netbeheerder leidt. Voor de toepassing van het bij of krachtens deze wet bepaalde worden één of meer windparken of zonneweides op land, of een combinatie daarvan die zich in elkaars onmiddellijke nabijheid bevinden, samen met het bijbehorende stelsel van verbindingen, beschouwd als één productie-installatie en één onroerende zaak als bedoeld in artikel 16, onderdelen a tot en met e, van de Wet waardering onroerende zaken, indien: ten behoeve van die windparken, zonneweides of een combinatie daarvan gezamenlijk een aanvraag is gedaan bij een netbeheerder om aangesloten te worden op dezelfde aansluiting; en de gevraagde aansluitcapaciteit meer bedraagt dan 2 MVA."
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk1,Algemene bepalingen,Paragraaf2,,Artikel2,Energierapport en monitoring,,,Artikel 2,,"Onze Minister stelt ten minste eenmaal in de vier jaar een energierapport vast dat richting geeft aan van rijkswege in de eerstvolgende vier jaar te nemen beslissingen voor zover daarbij het belang van het betrouwbaar, duurzaam, doelmatig en milieuhygiënisch verantwoord functioneren van de elektriciteitsvoorziening in beschouwing moet of kan worden genomen. Bij de voorbereiding van een energierapport betrekt Onze Minister de naar zijn oordeel bij de te behandelen onderwerpen meest belanghebbende bestuursorganen, instellingen en organisaties. Voor zover het energierapport onderdelen betreft die tot de verantwoordelijkheid behoren van Onze Minister van Infrastructuur en Milieu, wordt het rapport vastgesteld na overleg met voornoemde minister. Het energierapport bevat ten minste: een analyse van de ontwikkelingen op de nationale en internationale energiemarkt en de effecten daarvan op een betrouwbaar, duurzaam, doelmatig en milieuhygiënisch verantwoord functionerende energiehuishouding; een analyse van veranderingen in het gebruik van energiebronnen voor het opwekken van elektriciteit en van de wijze waarop en de mate waarin zich een duurzame energiehuishouding ontwikkelt; een analyse van de ontwikkeling van de marktwerking in de energievoorziening; een overzicht van de beoogde resultaten inzake de bevordering van een betrouwbaar, duurzaam, doelmatig en milieuhygiënisch verantwoord functionerende energiehuishouding en van de wijzen waarop die resultaten in de desbetreffende periode van vier jaar zullen worden nagestreefd; een analyse van overige aspecten die van belang kunnen zijn in het kader van het energiebeleid in het algemeen."
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk1,Algemene bepalingen,Paragraaf2,,Artikel3,Energierapport en monitoring,,,Artikel 3,,"Zodra het energierapport is vastgesteld, zendt Onze Minister dit aan beide Kamers der Staten-Generaal en geeft hij kennis van het energierapport in de Staatscourant."
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk1,Algemene bepalingen,Paragraaf2,,Artikel4,Energierapport en monitoring,,,Artikel 4,,"Het energierapport geldt met ingang van een bij besluit van Onze Minister vast te stellen tijdstip. Het besluit wordt niet eerder genomen dan acht weken nadat het energierapport op grond van artikel 3, eerste lid, is overgelegd aan de beide kamers der Staten-Generaal. Indien door of namens een der kamers der Staten-Generaal binnen acht weken nadat het energierapport is overgelegd, te kennen wordt gegeven dat zij over het energierapport in het openbaar wil beraadslagen, wordt het besluit niet eerder genomen dan zes maanden na de overlegging van het energierapport, dan wel, indien de beraadslagingen op een eerder tijdstip zijn beëindigd, na die beraadslagingen."
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk1,Algemene bepalingen,Paragraaf2,,Artikel4a,Energierapport en monitoring,,,Artikel 4a,,"Onze Minister verzamelt, analyseert en bewerkt systematisch inlichtingen en gegevens met betrekking tot de leverings- en voorzieningszekerheid, in het bijzonder met betrekking tot: het evenwicht van vraag en aanbod op de nationale markt, het niveau van de verwachte toekomstige vraag, de geplande of in aanbouw zijnde extra productie- en netwerkcapaciteit, de kwaliteit en de staat van onderhoud van de netten, en de maatregelen in geval van piekbelasting of het in gebreke blijven van een of meerdere leveranciers. Onze Minister publiceert jaarlijks uiterlijk op 31 juli op geschikte wijze een verslag van zijn bevindingen die het verzamelen, analyseren en bewerken van de inlichtingen en gegevens over de onderwerpen, genoemd in het eerste lid, heeft opgeleverd, alsmede van de getroffen of voorgenomen maatregelen met betrekking tot die onderwerpen. Hij zendt het verslag onverwijld naar de Europese Commissie en doet mededeling van het verslag in de Staatscourant. Ter uitvoering van de taak, bedoeld in het eerste lid, kunnen bij ministeriële regeling nadere regels worden gesteld omtrent: de gegevens en inlichtingen waarvan Onze Minister kan verlangen dat zij hem worden verstrekt, degenen van wie Onze Minister, onverminderd artikel 78, kan verlangen dat zij hem gegevens en inlichtingen verstrekken, en de termijn waarbinnen, de wijze waarop en de vorm waarin de gegevens en inlichtingen aan Onze Minister worden verstrekt. Het verslag bedoeld in het tweede lid wordt in nauwe samenwerking met de netbeheerder van het landelijk hoogspanningsnet opgesteld die voorzover van toepassing daarover overleg pleegt met de relevante netbeheerders van aangrenzende landen. In het verslag wordt ingegaan op de algehele toereikendheid van het stroomvoorzieningsysteem en de geraamde vraag naar elektriciteit waarbij in elk geval aandacht wordt besteed aan: de operationele netwerkveiligheid, het geraamde evenwicht tussen aanbod en vraag in de komende vijf jaar, de vooruitzichten inzake de elektriciteitsvoorziening voor de periode tussen vijf en vijftien jaar na de datum van verslaglegging, en de voornemens van de netbeheerder van het landelijk hoogspanningsnet en voor zover bekend van andere partijen voor de komende vijf of meer kalenderjaren op het gebied van investeringen ter voorziening in landgrensoverschrijdende netten. Bij het onderdeel van het verslag waarin aandacht wordt besteed aan de investeringsvoornemens in landgrensoverschrijdende netten als bedoeld in het vierde lid, onderdeel d, wordt met betrekking tot die voornemens rekening gehouden met: de beginselen van congestiebeheer, zoals vermeld in verordening 2019/943, de bestaande en geplande transportlijnen, verwachte patronen op het gebied van productie, levering, grensoverschrijdende handel en verbruik waarbij ruimte is voor vraagbeheersmaatregelen, en regionale, nationale en Europese doelstellingen voor duurzame ontwikkeling met inbegrip van de projecten die zijn opgenomen in bijlage I bij Beschikking nr. 1364/2006/EG."
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk1,Algemene bepalingen,Paragraaf2,,Artikel4b,Energierapport en monitoring,,,Artikel 4b,,"Onze Minister is de bevoegde instantie, bedoeld in artikel 3 van verordening 2019/941."
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk2,Uitvoering en toezicht,Artikel5,,,,,,Artikel 5,,"De Autoriteit Consument en Markt is belast met de aan haar opgedragen taken ter uitvoering van het bepaalde bij of krachtens deze wet, verordening 2019/943, verordening 2019/942verordening 2019/941 en verordening 1227/2011, alsmede met het toezicht op de naleving van het bepaalde bij of krachtens deze wet, verordening 2019/943, verordening 2019/942 en verordening 1227/2011. De Autoriteit Consument en Markt is de regulerende instantie, bedoeld in artikel 35, eerste lid, van de richtlijn, artikel 2, onder 12, van verordening 2019/941 en en artikel 2, onder 2, van verordening 2019/943. De Autoriteit Consument en Markt houdt bij de uitoefening van de haar op grond van deze wet toegekende taken en bevoegdheden rekening met artikel 36 van de richtlijn. De Autoriteit Consument en Markt werkt, onder meer teneinde de nationale markten op één of meer geografische gebieden als bedoeld in artikel 34, derde lid, van verordening 2019/943 te integreren en samenwerking tussen de netbeheerder van het landelijk hoogspanningnet en buitenlandse instellingen die op grond van nationale wettelijke regels zijn belast met het beheer van een transmissiesysteem als bedoeld in artikel 2, onderdeel 4, van de richtlijn in deze gebieden aan te moedigen, samen met: instellingen in andere lidstaten van de Europese Unie die op grond van nationale wettelijke regels zijn belast met de toepassing van de regels op het gebied van elektriciteit; Acer. De Autoriteit Consument en Markt draagt bij aan de compatibiliteit van gegevensuitwisselingsprocessen voor de belangrijkste marktprocessen in één of meer geografische gebieden als bedoeld in artikel 34, derde lid, van verordening 2019/943. De Autoriteit Consument en Markt beslist over de goedkeuring van de door de netbeheerder van het landelijk hoogspanningsnet gehanteerde congestiebeheersprocedures voor landsgrensoverschrijdende netten."
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk2,Uitvoering en toezicht,Artikel5a,,,,,,Artikel 5a,,"De Autoriteit Consument en Markt kan een bindende gedragslijn opleggen in verband met de naleving van het bepaalde bij of krachtens deze wet, verordening 2019/943, verordening 2019/942 en verordening 1227/2011."
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk2,Uitvoering en toezicht,Artikel5b,,,,,,Artikel 5b,,"De Autoriteit Consument en Markt volgt nauwlettend in welke mate de elektriciteitsmarkt aan de doelstellingen, bedoeld in artikel 36 van de richtlijn, voldoet. Tevens volgt zij: de samenhang tussen de voorgenomen investeringen, bedoeld in artikel 21, van de netbeheerder van het landelijk hoogspanningnet en van de netbeheerder van het net op zee en de netontwikkelingsplannen als bedoeld in artikel 30, eerste lid, onderdeel b, van verordening 2019/943; het niveau van transparantie, met inbegrip van de groothandelsprijzen; het niveau en de doeltreffendheid van openstelling van de markt en de mededinging op groot- en kleinverbruikersniveau; het bestaan van praktijken gericht op het aangaan van overeenkomsten die afnemers, niet zijnde afnemers als bedoeld in artikel 95a, eerste lid, kunnen weerhouden van of hen beperkingen kunnen opleggen met betrekking tot een keuze voor het gelijktijdig sluiten van overeenkomsten met meer dan een leverancier; de investeringen in productiecapaciteit met het oog op de continuïteit van de voorziening; de technische samenwerking tussen de netbeheerder van het landelijk hoogspanningsnet en buitenlandse instellingen die op grond van nationale wettelijke regels zijn belast met het beheer van een transmissiesysteem als bedoeld in artikel 2, onderdeel 4, van de richtlijn."
BWBR0009755,Elektriciteitswet 1998,Hoofdstuk2,Uitvoering en toezicht,Artikel5c,,,,,,Artikel 5c,,"Onverminderd de verplichting tot het opstellen van een jaarverslag, bedoeld in artikel 18, eerste lid, van de Kaderwet zelfstandige bestuursorganen, brengt de Autoriteit Consument en Markt jaarlijks verslag uit over de uitvoering van haar taken, bedoeld in artikel 5, eerste lid. Het verslag bevat een overzicht van de behaalde resultaten en genomen maatregelen. De Autoriteit Consument en Markt zendt het verslag toe aan Onze Minister, Acer en de Europese Commissie."
