law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0001840,Grondwet,Artikel,,,,,,,,nolabel,Algemene bepaling,De Grondwet waarborgt de grondrechten en de democratische rechtsstaat.
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel1,,,,,,Artikel 1,,"Allen die zich in Nederland bevinden, worden in gelijke gevallen gelijk behandeld. Discriminatie wegens godsdienst, levensovertuiging, politieke gezindheid, ras, geslacht, handicap, seksuele gerichtheid of op welke grond dan ook, is niet toegestaan."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel2,,,,,,Artikel 2,,"De wet regelt wie Nederlander is. De wet regelt de toelating en de uitzetting van vreemdelingen. Uitlevering kan slechts geschieden krachtens verdrag. Verdere voorschriften omtrent uitlevering worden bij de wet gegeven. Ieder heeft het recht het land te verlaten, behoudens in de gevallen, bij de wet bepaald."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel3,,,,,,Artikel 3,,Alle Nederlanders zijn op gelijke voet in openbare dienst benoembaar.
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel4,,,,,,Artikel 4,,"Iedere Nederlander heeft gelijkelijk recht de leden van algemeen vertegenwoordigende organen te verkiezen alsmede tot lid van deze organen te worden verkozen, behoudens bij de wet gestelde beperkingen en uitzonderingen."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel5,,,,,,Artikel 5,,Ieder heeft het recht verzoeken schriftelijk bij het bevoegd gezag in te dienen.
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel6,,,,,,Artikel 6,,"Ieder heeft het recht zijn godsdienst of levensovertuiging, individueel of in gemeenschap met anderen, vrij te belijden, behoudens ieders verantwoordelijkheid volgens de wet. De wet kan ter zake van de uitoefening van dit recht buiten gebouwen en besloten plaatsen regels stellen ter bescherming van de gezondheid, in het belang van het verkeer en ter bestrijding of voorkoming van wanordelijkheden."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel7,,,,,,Artikel 7,,"Niemand heeft voorafgaand verlof nodig om door de drukpers gedachten of gevoelens te openbaren, behoudens ieders verantwoordelijkheid volgens de wet. De wet stelt regels omtrent radio en televisie. Er is geen voorafgaand toezicht op de inhoud van een radio- of televisieuitzending. Voor het openbaren van gedachten of gevoelens door andere dan in de voorgaande leden genoemde middelen heeft niemand voorafgaand verlof nodig wegens de inhoud daarvan, behoudens ieders verantwoordelijkheid volgens de wet. De wet kan het geven van vertoningen toegankelijk voor personen jonger dan zestien jaar regelen ter bescherming van de goede zeden. De voorgaande leden zijn niet van toepassing op het maken van handelsreclame."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel8,,,,,,Artikel 8,,Het recht tot vereniging wordt erkend. Bij de wet kan dit recht worden beperkt in het belang van de openbare orde.
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel9,,,,,,Artikel 9,,"Het recht tot vergadering en betoging wordt erkend, behoudens ieders verantwoordelijkheid volgens de wet. De wet kan regels stellen ter bescherming van de gezondheid, in het belang van het verkeer en ter bestrijding of voorkoming van wanordelijkheden."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel10,,,,,,Artikel 10,,"Ieder heeft, behoudens bij of krachtens de wet te stellen beperkingen, recht op eerbiediging van zijn persoonlijke levenssfeer. De wet stelt regels ter bescherming van de persoonlijke levenssfeer in verband met het vastleggen en verstrekken van persoonsgegevens. De wet stelt regels inzake de aanspraken van personen op kennisneming van over hen vastgelegde gegevens en van het gebruik dat daarvan wordt gemaakt, alsmede op verbetering van zodanige gegevens."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel11,,,,,,Artikel 11,,"Ieder heeft, behoudens bij of krachtens de wet te stellen beperkingen, recht op onaantastbaarheid van zijn lichaam."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel12,,,,,,Artikel 12,,"Het binnentreden in een woning zonder toestemming van de bewoner is alleen geoorloofd in de gevallen bij of krachtens de wet bepaald, door hen die daartoe bij of krachtens de wet zijn aangewezen. Voor het binnentreden overeenkomstig het eerste lid zijn voorafgaande legitimatie en mededeling van het doel van het binnentreden vereist, behoudens bij de wet gestelde uitzonderingen. Aan de bewoner wordt zo spoedig mogelijk een schriftelijk verslag van het binnentreden verstrekt. Indien het binnentreden in het belang van de nationale veiligheid of dat van de strafvordering heeft plaatsgevonden, kan volgens bij de wet te stellen regels de verstrekking van het verslag worden uitgesteld. In de bij de wet te bepalen gevallen kan de verstrekking achterwege worden gelaten, indien het belang van de nationale veiligheid zich tegen verstrekking blijvend verzet."
BWBR0001840,Grondwet,Hoofdstuk1,Grondrechten,Artikel13,,,,,,Artikel 13,,"Ieder heeft recht op eerbiediging van zijn brief- en telecommunicatiegeheim. Beperking van dit recht is mogelijk in de gevallen bij de wet bepaald met machtiging van de rechter of, in het belang van de nationale veiligheid, door of met machtiging van hen die daartoe bij de wet zijn aangewezen."
