law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.1,,Artikel1,Begripsbepalingen,,,Artikel 1,Organen,"In deze wet en de daarop berustende bepalingen wordt verstaan onder: Onze Minister: Onze Minister van Sociale Zaken en Werkgelegenheid; college: het college van burgemeester en wethouders, bedoeld in artikel 40, eerste lid; Uitvoeringsinstituut werknemersverzekeringen: het Uitvoeringsinstituut werknemersverzekeringen, genoemd in hoofdstuk 5 van de Wet structuur uitvoeringsorganisatie werk en inkomen; Sociale verzekeringsbank: de Sociale verzekeringsbank, genoemd in hoofdstuk 6 van de Wet structuur uitvoeringsorganisatie werk en inkomen; Inlichtingenbureau: het Inlichtingenbureau, bedoeld in artikel 63 van de Wet structuur uitvoeringsorganisatie werk en inkomen; inrichting: een instelling die zich blijkens haar doelstelling en feitelijke werkzaamheden richt op het bieden van verpleging of verzorging aan aldaar verblijvende hulpbehoevenden; een instelling die zich blijkens haar doelstelling en feitelijke werkzaamheden richt op het bieden van slaapgelegenheid, waarbij de mogelijkheid van hulpverlening of begeleiding gedurende meer dan de helft van ieder etmaal aanwezig is; Richtlijn 2004/38/EG: Richtlijn nr. 2004/38/EG van het Europees Parlement en de Raad van 29 april 2004 betreffende het recht van vrij verkeer en verblijf op het grondgebied van de lidstaten voor de burgers van de Unie en hun familieleden, tot wijziging van Verordening (EEG) 1612/68 en tot intrekking van Richtlijnen 64/221/EEG, 68/360/EEG, 72/194/EEG, 73/148/EEG, 75/34/EEG, 75/35/EEG, 90/364/EEG, 90/365/EEG en 93/96/EEG (PbEU L 158); vrijheidsstraf of vrijheidsbenemende maatregel: een bij onherroepelijk geworden vonnis opgelegde vrijheidsstraf of vrijheidsbenemende maatregel als bedoeld in het Wetboek van Strafrecht; Algemene bijstandswet: Algemene bijstandswet zoals deze luidde op 31 december 2003; Wet inschakeling werkzoekenden: Wet inschakeling werkzoekenden zoals deze luidde op 31 december 2003; Besluit in- en doorstroombanen: Besluit in- en doorstroombanen zoals dit luidde op 31 december 2003; Invoeringswet Wet werk en bijstand: Invoeringswet Wet werk en bijstand zoals deze luidde op de dag voorafgaand aan de inwerkingtreding van de wet van 29 december 2008 tot intrekking van de Invoeringswet Wet werk en bijstand (Stb. 586); pensioengerechtigde leeftijd: pensioengerechtigde leeftijd, bedoeld in artikel 7a, eerste lid, van de Algemene Ouderdomswet; lijfrente: een lijfrente als bedoeld in artikel 3.125, eerste lid, onderdelen a en c, van de Wet inkomstenbelasting 2001, een lijfrenterekening of een lijfrentebeleggingsrecht als bedoeld in artikel 3.126a van die wet die voorziet in een oudedagslijfrente, dan wel een recht op periodieke uitkeringen of verstrekkingen waarop artikel I, onderdeel O, van hoofdstuk 2 van de Invoeringswet Wet inkomstenbelasting 2001 van toepassing is; uitreiziger: persoon ten aanzien van wie op grond van een melding van de opsporingsdiensten of inlichtingen- en veiligheidsdiensten, gericht aan het college of de Sociale verzekeringsbank, is gebleken dat het gegronde vermoeden bestaat dat deze persoon zich buiten Nederland bevindt met het doel om zich aan te sluiten bij een organisatie die is geplaatst op de lijst van organisaties, bedoeld in artikel 14, vierde lid, van de Rijkswet op het Nederlanderschap."
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.1,,Artikel2,Begripsbepalingen,,,Artikel 2,"Premies, wettelijk minimumloon en kinderbijslag","In deze wet en de daarop berustende bepalingen wordt verstaan onder: premies volksverzekeringen: premies volksverzekeringen als bedoeld in de Wet financiering sociale verzekeringen; kinderbijslag: kinderbijslag op grond van de Algemene Kinderbijslagwet; wettelijk minimumloon: het minimumloon per maand, bedoeld in artikel 8, eerste lid, onderdeel b, van de Wet minimumloon en minimumvakantiebijslag of, indien het een werknemer jonger dan 21 jaar betreft, het voor zijn leeftijd geldende minimumloon per maand, bedoeld in artikel 7, derde lid, en artikel 8, derde lid, van genoemde wet."
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.1,,Artikel3,Begripsbepalingen,,,Artikel 3,Gezamenlijke huishouding en woning,"In deze wet en de daarop berustende bepalingen wordt gelijkgesteld met: echtgenoot: geregistreerde partner; echtgenoten: geregistreerde partners; huwelijk: geregistreerd partnerschap; gehuwd: als partner geregistreerd; gehuwde: als partner geregistreerde; gehuwden: als partners geregistreerden; echtscheiding: beëindiging van een geregistreerd partnerschap anders dan door de dood of vermissing. In deze wet en de daarop berustende bepalingen wordt: als gehuwd of als echtgenoot mede aangemerkt de ongehuwde die met een ander een gezamenlijke huishouding voert, tenzij het betreft een aanverwant in de eerste graad, een bloedverwant in de eerste graad of een bloedverwant in de tweede graad indien er bij één van de bloedverwanten in de tweede graad sprake is van zorgbehoefte; als ongehuwd mede aangemerkt degene die duurzaam gescheiden leeft van de persoon met wie hij gehuwd is. Van een gezamenlijke huishouding is sprake indien twee personen hun hoofdverblijf in dezelfde woning hebben en zij blijk geven zorg te dragen voor elkaar door middel van het leveren van een bijdrage in de kosten van de huishouding dan wel anderszins. Een gezamenlijke huishouding wordt in ieder geval aanwezig geacht indien de belanghebbenden hun hoofdverblijf hebben in dezelfde woning en: zij met elkaar gehuwd zijn geweest of in de periode van twee jaar voorafgaande aan de aanvraag van bijstand voor de verlening van bijstand als gehuwden zijn aangemerkt; uit hun relatie een kind is geboren of erkenning heeft plaatsgevonden van een kind van de een door de ander; zij zich wederzijds verplicht hebben tot een bijdrage aan de huishouding krachtens een geldend samenlevingscontract; of zij op grond van een registratie worden aangemerkt als een gezamenlijke huishouding die naar aard en strekking overeenkomt met de gezamenlijke huishouding, bedoeld in het derde lid. Bij algemene maatregel van bestuur wordt vastgesteld welke registraties, en gedurende welk tijdvak, in aanmerking worden genomen voor de toepassing van het vierde lid, onderdeel d. In deze wet en de daarop berustende bepalingen wordt onder een woning mede verstaan een woonwagen of een woonschip. Onder bloedverwant in de eerste graad als bedoeld in het tweede lid, onderdeel a, wordt mede verstaan een meerderjarig voormalig pleegkind van de ongehuwde. Onder voormalig pleegkind wordt verstaan een pleegkind voor wie de ongehuwde een pleegvergoeding ontving of ontvangt op grond van de Wet op de jeugdzorg of de Jeugdwet, of kinderbijslag ontving op grond van de Algemene Kinderbijslagwet."
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.1,,Artikel4,Begripsbepalingen,,,Artikel 4,"Alleenstaande, alleenstaande ouder en gezin","In deze wet en de daarop berustende bepalingen wordt verstaan onder: alleenstaande: de ongehuwde die geen tot zijn last komende kinderen heeft en geen gezamenlijke huishouding voert met een ander, tenzij het betreft een bloedverwant in de eerste graad of een bloedverwant in de tweede graad indien er bij één van de bloedverwanten in de tweede graad sprake is van zorgbehoefte; alleenstaande ouder: de ongehuwde die de volledige zorg heeft voor een of meer tot zijn last komende kinderen en geen gezamenlijke huishouding voert met een ander, tenzij het betreft een bloedverwant in de eerste graad of een bloedverwant in de tweede graad indien er bij één van de bloedverwanten in de tweede graad sprake is van zorgbehoefte; gezin: de gehuwden tezamen; de gehuwden met de tot hun last komende kinderen; de alleenstaande ouder met de tot zijn last komende kinderen; kind: het in Nederland woonachtige eigen kind of stiefkind of, voor de toepassing van de artikelen 9, 9a en 30, tweede lid, het in Nederland woonachtige pleegkind; ten laste komend kind: het kind jonger dan 18 jaar voor wie aan de alleenstaande ouder of de gehuwde op grond van artikel 18 van de Algemene Kinderbijslagwet kinderbijslag wordt betaald, zal worden betaald of zou worden betaald indien artikel 7, tweede lid, van die wet niet van toepassing zou zijn. Onder bloedverwant in de eerste graad als bedoeld in het eerste lid, onderdelen a en b, wordt mede verstaan een meerderjarig stiefkind of een meerderjarig voormalig pleegkind van de ongehuwde."
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.1,,Artikel5,Begripsbepalingen,,,Artikel 5,Bijstand en voorliggende voorziening,"In deze wet en de daarop berustende bepalingen wordt verstaan onder: bijstand: algemene en bijzondere bijstand; algemene bijstand: de bijstand ter voorziening in de algemeen noodzakelijke kosten van het bestaan; bijstandsnorm: de op grond van paragraaf 3.2, op de belanghebbende van toepassing zijnde norm, verminderd met de op grond van paragraaf 3.3, door het college vastgestelde verlaging; bijzondere bijstand: de bijstand, bedoeld in artikel 35 en de individuele inkomenstoeslag, bedoeld in artikel 36; voorliggende voorziening: elke voorziening buiten deze wet waarop de belanghebbende of het gezin aanspraak kan maken, dan wel een beroep kan doen, ter verwerving van middelen of ter bekostiging van specifieke uitgaven."
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.1,,Artikel6,Begripsbepalingen,,,Artikel 6,Definities in verband met arbeidsinschakeling,"In deze wet en de daarop berustende bepalingen wordt verstaan onder: niet-uitkeringsgerechtigde: de persoon jonger dan de pensioengerechtigde leeftijd, die als werkloze werkzoekende staat geregistreerd bij het Uitvoeringsinstituut werknemersverzekeringen en die geen recht heeft op arbeidsondersteuning op grond van de Wet arbeidsongeschiktheidsvoorziening jonggehandicapten of een uitkering op grond van deze wet of de Werkloosheidswet, de Wet inkomensvoorziening oudere werklozen, de Wet arbeidsongeschiktheidsverzekering zelfstandigen, de Wet arbeidsongeschiktheidsvoorziening jonggehandicapten, de Wet werk en inkomen naar arbeidsvermogen, de Wet op de arbeidsongeschiktheidsverzekering, de Toeslagenwet, de Algemene nabestaandenwet dan wel een uitkering op grond van een regeling, die met deze wetten naar aard en strekking overeenstemt; arbeidsinschakeling: het verkrijgen van algemeen geaccepteerde arbeid, waarbij geen gebruik wordt gemaakt van een voorziening als bedoeld in artikel 7, eerste lid, onderdeel a; sociale activering: het verrichten van onbeloonde maatschappelijk zinvolle activiteiten gericht op arbeidsinschakeling of, als arbeidsinschakeling nog niet mogelijk is, op zelfstandige maatschappelijke participatie; startkwalificatie: een diploma van een opleiding als bedoeld in artikel 7.2.2, eerste lid, onderdelen b tot en met e, van de Wet educatie en beroepsonderwijs of een diploma hoger algemeen voortgezet onderwijs of voorbereidend wetenschappelijk onderwijs, bedoeld in artikel 2.5 onderscheidenlijk 2.4 van de Wet voortgezet onderwijs 2020; doelgroep loonkostensubsidie: personen als bedoeld in artikel 7, eerste lid, onderdeel a, van wie is vastgesteld dat zij met voltijdse arbeid niet in staat zijn tot het verdienen van het wettelijk minimumloon, doch wel mogelijkheden tot arbeidsparticipatie hebben, alsmede personen als bedoeld in artikel 10d, tweede lid; dienstbetrekking: een privaatrechtelijke of publiekrechtelijke dienstbetrekking; loonwaarde: vastgesteld percentage van het wettelijk minimumloon voor de door een persoon, die tot de doelgroep loonkostensubsidie behoort, verrichte arbeid in een functie naar evenredigheid van de arbeidsprestatie in die functie van een gemiddelde werknemer met een soortgelijke opleiding en ervaring, die niet tot de doelgroep loonkostensubsidie behoort; proefplaats: het verrichten van onbeloonde werkzaamheden bij een werkgever voor een beperkte duur gericht op arbeidsinschakeling bij die werkgever."
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.1,,Artikel6a,Begripsbepalingen,,,Artikel 6a,Algemene verordening gegevensbescherming,In deze wet en de daarop berustende bepalingen wordt onder gegevens mede verstaan persoonsgegevens als bedoeld in de Algemene verordening gegevensbescherming.
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.1,,Artikel6b,Begripsbepalingen,,,Artikel 6b,Medisch urenbeperkt,"In deze wet en de daarop berustende bepalingen wordt onder medisch urenbeperkt verstaan: als rechtstreeks en objectief medisch vast te stellen gevolg van ziekte, gebreken, zwangerschap of bevalling voor een geringer aantal uren belastbaar zijn dan de arbeidsduur welke in overeenkomstige dienstbetrekkingen in de regel geacht wordt een volledige dienstbetrekking te vormen. Het college kan: ambtshalve vaststellen of een persoon als bedoeld in artikel 7, eerste lid, onderdeel a, onder 1, medisch urenbeperkt is; op schriftelijke aanvraag van een persoon als bedoeld in artikel 7, eerste lid, onderdeel a, onder 1, vaststellen of hij medisch urenbeperkt is. Een aanvraag als bedoeld in het tweede lid, onderdeel b, kan slechts eenmaal per twaalf maanden worden ingediend. Het Uitvoeringsinstituut werknemersverzekeringen verricht voor het college de werkzaamheden ten behoeve van de vaststelling of een persoon als bedoeld in artikel 7, eerste lid, onderdeel a, onder 1, medisch urenbeperkt is en adviseert het college hierover."
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.2,,Artikel7,Opdracht gemeente,,,Artikel 7,Opdracht college,"Het college: ondersteunt bij arbeidsinschakeling: personen die algemene bijstand ontvangen, personen als bedoeld in de artikelen 34a, vijfde lid, onderdeel b, 35, vierde lid, onderdeel b, en 36, derde lid, onderdeel b, van de Wet werk en inkomen naar arbeidsvermogen tot het moment dat het inkomen uit arbeid in dienstbetrekking gedurende twee aaneengesloten jaren ten minste het minimumloon vermenigvuldigd met de arbeidsduur welke in overeenkomstige dienstbetrekking in de regel geacht wordt een volledige dienstbetrekking te vormen bedraagt en ten behoeve van die persoon in die twee jaren geen loonkostensubsidie als bedoeld in artikel 10d is verleend, personen als bedoeld in artikel 10, tweede lid, personen met een nabestaanden- of wezenuitkering op grond van de Algemene nabestaandenwet personen met een uitkering op grond van de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte werkloze werknemers, personen met een uitkering op grond van de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte gewezen zelfstandigen, en niet-uitkeringsgerechtigden en, indien het college daarbij het aanbieden van een voorziening, waaronder begrepen sociale activering gericht op arbeidsinschakeling, noodzakelijk acht, bepaalt en biedt deze voorziening aan; verleent bijstand aan personen hier te lande die in zodanige omstandigheden verkeren of dreigen te geraken dat zij niet over de middelen beschikken om in de noodzakelijke kosten van het bestaan te voorzien; en ontwikkelt beleid ten behoeve van het verrichten van een tegenprestatie als bedoeld in artikel 9, eerste lid, onderdeel c, en voert dit uit, overeenkomstig de verordening, bedoeld in artikel 8a, eerste lid, onderdeel b. Het college werkt bij de uitvoering van het eerste lid, onderdeel a, samen met het Uitvoeringsinstituut werknemersverzekeringen. Het eerste lid, onderdeel a, is niet van toepassing op personen: jonger dan 27 jaar die uit ’s Rijks kas bekostigd onderwijs kunnen volgen; als bedoeld in artikel 41, vierde lid, die zich hebben gemeld om bijstand aan te vragen gedurende de vier weken na de melding, bedoeld in artikel 44, tenzij, gelet op de omstandigheden van de persoon, het college ondersteuning bij arbeidsinschakeling noodzakelijk acht; of aan wie het Uitvoeringsinstituut werknemersverzekeringen een uitkering verstrekt, tenzij het betreft een persoon ten behoeve van wie loonkostensubsidie als bedoeld in artikel 10d is verleend, tot het moment dat diens inkomen uit arbeid in dienstbetrekking gedurende twee aaneengesloten jaren ten minste het minimumloon vermenigvuldigd met de arbeidsduur welke in overeenkomstige dienstbetrekking in de regel geacht wordt een volledige dienstbetrekking te vormen bedraagt en ten behoeve van die persoon in die twee jaren geen loonkostensubsidie is verleend. Het college kan de uitvoering van deze wet, behoudens de vaststelling van de rechten en plichten van de belanghebbende en de daarvoor noodzakelijke beoordeling van zijn omstandigheden, door derden laten verrichten. Het college kan de in de eerste volzin bedoelde vaststelling en beoordeling mandateren aan bestuursorganen. Bij of krachtens algemene maatregel van bestuur kunnen regels worden gesteld met betrekking tot het tweede tot en met vierde lid. Het eerste lid, onderdeel b, is niet van toepassing indien het verlenen van bijstand op grond van artikel 47a, eerste lid, tot de taak van de Sociale verzekeringsbank behoort. Het college en het Uitvoeringsinstituut werknemersverzekeringen kunnen overeenkomen dat het college personen aan wie het Uitvoeringsinstituut werknemersverzekeringen een uitkering verstrekt, ondersteunt en aan die personen voorzieningen aanbiedt als bedoeld in het eerste lid, onderdeel a. Uitvoering van het eerste lid, onderdeel a, door middel van artikel 10a is niet van toepassing op de persoon die jonger is dan 27 jaar. Bij de uitoefening van de taak, bedoeld in het eerste lid, onderdeel a, is artikel 5 van de Wet sociale werkvoorziening van overeenkomstige toepassing. Het slot van het eerste lid, onderdeel a, is niet van toepassing op de tolkvoorziening, bedoeld in artikel 10g, en een werkvoorziening als bedoeld in artikel 10h."
BWBR0015703,Participatiewet,Hoofdstuk1,Algemeen,Paragraaf1.2,,Artikel8,Opdracht gemeente,,,Artikel 8,Verordeningen uitkeringen,"De gemeenteraad stelt bij verordening regels met betrekking tot: het verlagen van de bijstand, bedoeld in artikel 18, tweede lid en de periode van de verlaging van de bijstand, bedoeld in artikel 18, vijfde en zesde lid; het verlenen van een individuele inkomenstoeslag als bedoeld in artikel 36; het verlagen van de bijstand, bedoeld in artikel 9a, twaalfde lid. De regels, bedoeld in het eerste lid, hebben voor zover het gaat om het eerste lid, onderdeel b, in ieder geval betrekking op de hoogte van de individuele inkomenstoeslag en de wijze waarop invulling wordt gegeven aan de begrippen langdurig en laag inkomen."
