law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf1,,Artikel1,Algemeen,,,Artikel 1,,"In deze wet en de daarop berustende bepalingen wordt verstaan onder: Onze Minister: Onze Minister van Sociale Zaken en Werkgelegenheid; UWV: het Uitvoeringsinstituut werknemersverzekeringen, genoemd in hoofdstuk 5 van de Wet structuur uitvoeringsorganisatie werk en inkomen; vervallen; Algemeen Werkloosheidsfonds: het Algemeen Werkloosheidsfonds, genoemd in artikel 93 van de Wet financiering sociale verzekeringen; lichamen: rechtspersonen, maat- en vennootschappen, samenwerkingsvormen zonder rechtspersoonlijkheid die met verenigingen maatschappelijk gelijk kunnen worden gesteld, ondernemingen van publiekrechtelijke rechtspersonen en doelvermogens; sector: een sector als bedoeld in artikel 95 van de Wet financiering sociale verzekeringen; onbetaald verlof: een tussen werkgever en werknemer voor een gedeelte of het geheel van de arbeidstijd overeengekomen verlof, waarin de werknemer geen arbeid jegens de werkgever verricht; vreemdeling: hetgeen daaronder wordt verstaan in de Vreemdelingenwet 2000; overheidswerkgever: het orgaan van een publiekrechtelijk lichaam als bedoeld in artikel 2, eerste lid, onderdeel a, van de WPA, dan wel een privaatrechtelijk lichaam als bedoeld in artikel 2, eerste lid, onderdeel b tot en met e, van die wet, zoals die bepalingen luidden op de dag voorafgaande aan het tijdstip van aanvang van fase 2, bedoeld in artikel 53 van de Wet overheidspersoneel onder de werknemersverzekeringen, dat de overheidswerknemer rechtstreeks ten laste van dat lichaam bezoldigt of beloont; een privaatrechtelijk lichaam als bedoeld in artikel 2, eerste lid, onderdeel f, van de WPA of artikel 2, derde lid, van die wet, zoals die bepalingen luidden op de dag voorafgaande aan het tijdstip van aanvang van fase 2, bedoeld in artikel 53 van de Wet overheidspersoneel onder de werknemersverzekeringen, dat zowel op die dag als op dat tijdstip op grond van een van die bepalingen is aangewezen als lichaam waarvan de werknemers deelnemen in de Stichting Pensioenfonds ABP, en dat de overheidswerknemer rechtstreeks ten laste van dat lichaam bezoldigt of beloont; Onze Minister van Defensie in relatie tot de in artikel 2, tweede lid, onderdeel f, van de WPA uitgezonderde personen, zoals die bepaling luidde op de dag voorafgaande aan het tijdstip van aanvang van fase 2, bedoeld in artikel 53 van de Wet overheidspersoneel onder de werknemersverzekeringen; overheidswerknemer: de overheidswerknemer in de zin van artikel 2 van de WPA zoals die bepaling luidde op de dag voorafgaande aan het tijdstip van aanvang van fase 2, bedoeld in artikel 53 van de Wet overheidspersoneel onder de werknemersverzekeringen, jonger dan de pensioengerechtigde leeftijd, bedoeld in artikel 7a, eerste lid, van de Algemene Ouderdomswet; de beroepsmilitair in de zin van de Algemene militaire pensioenwet, jonger dan de pensioengerechtigde leeftijd, bedoeld in artikel 7a, eerste lid, van de Algemene Ouderdomswet; degene die door de Koning in dienst is genomen om bij de Koninklijke Hofhouding werkzaam te zijn en die uit dien hoofde onder de Pensioenregeling van de Stichting tot verzorging van de pensioenen van het personeel van de Koninklijke Hofhouding van het Huis van Oranje-Nassau valt, jonger dan de pensioengerechtigde leeftijd, bedoeld in artikel 7a, eerste lid, van de Algemene Ouderdomswet; Uitvoeringsfonds voor de overheid: het Uitvoeringsfonds voor de overheid, genoemd in artikel 106 van de Wet financiering sociale verzekeringen; reïntegratiebedrijf: een natuurlijke persoon dan wel rechtspersoon die in het kader van de uitoefening van beroep of bedrijf de inschakeling van personen in de arbeid bevordert; vrijheidsstraf of vrijheidsbenemende maatregel: een bij onherroepelijk geworden vonnis opgelegde vrijheidsstraf of vrijheidsbenemende maatregel als bedoeld in het Wetboek van Strafrecht; continentaal plat: de exclusieve economische zone van het Koninkrijk, bedoeld in artikel 1 van de Rijkswet instelling exclusieve economische zone, voor zover deze grenst aan de territoriale zee van Nederland; inkomen uit arbeid: loon als bedoeld in artikel 14, met dien verstande dat niet tot het inkomen uit arbeid worden gerekend: uitkeringen op grond van een werknemersverzekering en de Wet arbeid en zorg of wachtgeld als bedoeld in artikel 6, vijfde lid, tweede zin, al dan niet vermeerderd met een toeslag op grond van de Toeslagenwet en de aanvullingen daarop van degene tot wie de werknemer in dienstbetrekking staat; hetgeen wordt genoten op grond van artikel 629 van Boek 7 van het Burgerlijk Wetboek, alsmede hetgeen door de werknemer met een publiekrechtelijke dienstbetrekking wordt genoten op grond van naar aard en strekking met artikel 629 van Boek 7 van het Burgerlijk Wetboek overeenkomstige regelingen, al dan niet vermeerderd met een toeslag op grond van de Toeslagenwet en de aanvullingen daarop van degene tot wie de werknemer in dienstbetrekking staat; het voordeel van het voor privé-doeleinden ter beschikking stellen van een auto, bedoeld in artikel 13bis van de Wet op de loonbelasting 1964; de pensioengerechtigde leeftijd: de pensioengerechtigde leeftijd, bedoeld in artikel 7a, eerste lid, van de Algemene Ouderdomswet; uitreiziger: persoon ten aanzien van wie op grond van een melding van de opsporingsdiensten of inlichtingen- en veiligheidsdiensten, gericht aan het UWV, is gebleken dat het gegronde vermoeden bestaat dat deze persoon zich buiten Nederland bevindt met het doel om zich aan te sluiten bij een organisatie die is geplaatst op de lijst van organisaties, bedoeld in artikel 14, vierde lid, van de Rijkswet op het Nederlanderschap."
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf1,,Artikel1a,Algemeen,,,Artikel 1a,,Onder arbeidsuur wordt in deze wet verstaan: uur waarover een werknemer inkomen uit arbeid heeft ontvangen; of uur waarover een werknemer recht heeft op inkomen uit arbeid. Bij ministeriële regeling kunnen regels worden gesteld waarbij: uren worden gelijkgesteld met een arbeidsuur als bedoeld in het eerste lid; arbeidsuren als bedoeld in het eerste lid niet als arbeidsuren worden aangemerkt; vastgesteld wordt welke in het kader van een dienstbetrekking ontvangen bedragen in aanmerking komen voor omrekening naar arbeidsuren en hoeveel arbeidsuren deze bedragen vertegenwoordigen.
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf1,,Artikel1b,Algemeen,,,Artikel 1b,,"Voor de berekening van de hoogte van de uitkering waarop op grond van deze wet recht bestaat wordt als dagloon beschouwd 1/261 deel van het loon dat de werknemer in de periode van één jaar, die eindigt op de laatste dag van het tweede aangiftetijdvak voorafgaande aan het aangiftetijdvak waarin het arbeidsurenverlies, bedoeld in artikel 16, eerste lid, onderdeel a, is ingetreden, verdiende, doch ten hoogste het bedrag, bedoeld in artikel 17, eerste lid, van de Wet financiering sociale verzekeringen, met betrekking tot een loontijdvak van een dag. Het maandloon in een kalendermaand bedraagt: indien de werknemer over de volledige kalendermaand recht op een uitkering heeft gehad 21,75 maal het dagloon; indien de werknemer niet over de volledige kalendermaand recht op een uitkering heeft gehad het aantal werkdagen in die kalendermaand waarop recht op uitkering heeft bestaan, vermenigvuldigd met het dagloon. Bij het bepalen van het aantal werkdagen wordt een kalenderweek geacht vijf werkdagen te hebben; of dit onderdeel is nog niet in werking getreden. Bij ministeriële regeling kunnen nadere regels worden gesteld met betrekking tot het aanmerken van kalendermaanden als volledige kalendermaanden als bedoeld in het tweede lid, onderdeel a, en met betrekking tot het aanmerken van dagen als werkdagen als bedoeld in het tweede lid, onderdeel b. Het inkomen in een kalendermaand bedraagt: indien de werknemer over de volledige kalendermaand recht op een uitkering heeft gehad: het inkomen over de eerste tot en met de laatste dag van de kalendermaand; of indien de werknemer niet over de volledige kalendermaand recht op een uitkering heeft gehad: het inkomen over de dagen in die kalendermaand waarop het recht op uitkering heeft bestaan. Indien de werknemer de hoedanigheid van werknemer, bedoeld in artikel 8, eerste lid, verliest of heeft verloren, anders dan door het verrichten van werkzaamheden als bedoeld in artikel 8, vierde lid, dan wel indien de werknemer in een kalenderweek minder beschikbaar voor arbeid is dan zijn gemiddeld aantal arbeidsuren per kalenderweek, bedoeld in artikel 16, tweede lid, wordt onder zijn inkomen in een kalendermaand tevens verstaan: (A + B) x C / D. Hierbij staat: A voor het aantal uren in een kalendermaand waarover de werknemer de hoedanigheid van werknemer verliest of heeft verloren als bedoeld in artikel 8, voor zover het uren betreft op dagen waarop recht op uitkering bestaat; B voor het aantal arbeidsuren in een kalendermaand dat de werknemer minder beschikbaar is voor arbeid wegens andere omstandigheden dan ziekte, arbeidsongeschiktheid of omdat hij deelneemt dan wel gaat deelnemen aan een naar het oordeel van het UWV noodzakelijke opleiding of scholing als bedoeld in artikel 76; C voor het dagloon waarnaar de uitkering zou zijn berekend indien dat niet gemaximeerd zou zijn op het in artikel 17, eerste lid, van de Wet financiering sociale verzekeringen bedoelde bedrag, dan wel voor de uitkering, bedoeld in artikel 64, eerste lid, onderdeel b, zonder de maximering, bedoeld in artikel 64, vierde en zevende lid, gedeeld door 21,75 als de uitkering betrekking heeft op een periode die aanvangt op de eerste dag en eindigt op de laatste dag van een kalendermaand, dan wel gedeeld door het aantal dagen, bedoeld in artikel 64, zevende lid; en D voor het gemiddeld aantal arbeidsuren, bedoeld in artikel 16, tweede en zesde lid, gedeeld door 5. Bij algemene maatregel van bestuur worden, onder meer voor artikel 18, ten aanzien van de vaststelling van het dagloon, bedoeld in het eerste lid, en de herziening ervan nadere en zo nodig afwijkende regels gesteld. Het dagloon berekend op grond van dit artikel en de daarop berustende bepalingen wordt herzien met ingang van de dag waarop en in de mate waarin het bedrag genoemd in artikel 8, eerste lid, onderdeel b, van de Wet minimumloon en minimumvakantiebijslag wordt herzien. Door of namens Onze Minister wordt in de Staatscourant medegedeeld met ingang van welke dag en met welk percentage een herziening als bedoeld in het zevende lid plaatsvindt. Een herziening van de uitkering als gevolg van een herziening van het dagloon vindt plaats zonder dat dit bij beschikking is vastgesteld. Bij algemene maatregel van bestuur wordt tevens bepaald wat onder inkomen als bedoeld in dit artikel wordt verstaan. Daarbij kan tevens worden bepaald dat nader te bepalen inkomen dat gedeeltelijk, niet, of niet langer wordt genoten als gevolg van gewijzigde omstandigheden of enig handelen of nalaten van betrokkene in aanmerking wordt genomen alsof het wel volledig wordt genoten."
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf1,,Artikel2,Algemeen,,,Artikel 2,,"Waar een natuurlijk persoon woont en waar een lichaam gevestigd is, wordt naar de omstandigheden beoordeeld. Voor de toepassing van het eerste lid worden schepen die binnen Nederland hun thuishaven hebben, beschouwd als deel van Nederland."
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf1,,Artikel2a,Algemeen,,,Artikel 2a,,Vervallen
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf2,,Artikel3,De werknemer,,,Artikel 3,,"Werknemer is de natuurlijke persoon, jonger dan de pensioengerechtigde leeftijd, die in privaatrechtelijke of in publiekrechtelijke dienstbetrekking staat. Wie zijn dienstbetrekking buiten Nederland en het continentaal plat vervult, wordt niet als werknemer beschouwd, tenzij hij in Nederland woont en zijn werkgever eveneens in Nederland woont of gevestigd is. Voor zover een werkgever: in Nederland een vaste inrichting voor de uitoefening van zijn bedrijf of beroep of een in Nederland wonende of gevestigde vaste vertegenwoordiger heeft; of in Nederland een of meer personen in dienst heeft en hij door of vanwege Onze Minister als werkgever is aangewezen, wordt hij voor de toepassing van de eerste volzin gelijkgesteld met een in Nederland wonende of gevestigde werkgever. In afwijking van het eerste en tweede lid wordt niet als werknemer beschouwd de vreemdeling die niet rechtmatig in Nederland verblijf houdt in de zin van artikel 8, onder a tot en met e en l, van de Vreemdelingenwet 2000. Bij of krachtens algemene maatregel van bestuur kan worden bepaald, dat: personen, die buiten Nederland wonen ook als werknemer worden beschouwd, voor zover zij hun dienstbetrekking buiten Nederland vervullen; personen, die in Nederland wonen, ook als werknemer worden beschouwd, voor zover zij hun dienstbetrekking buiten Nederland vervullen en hun werkgever buiten Nederland woont of gevestigd is. Bij of krachtens algemene maatregel van bestuur kan van het eerste, tweede en derde lid worden afgeweken ten aanzien van: vreemdelingen; personen op wie een regeling van toepassing is inzake verzekering tegen geldelijke gevolgen van werkloosheid van Aruba, Curaçao, Sint Maarten of een vergelijkbare regeling ten behoeve van de openbare lichamen Bonaire, Sint Eustatius en Saba, of van een andere mogendheid; personen, die slechts tijdelijk in Nederland verblijven of tijdelijk in Nederland werkzaam zijn; personen werkzaam bij een volkenrechtelijke organisatie. Bij een maatregel, als bedoeld in het vijfde lid, kan worden afgeweken van het derde lid ten aanzien van: vreemdelingen die rechtmatig in Nederland arbeid verrichten, dan wel hebben verricht; vreemdelingen die, na rechtmatig verblijf te hebben gehouden in de zin van artikel 8, onder a tot en met e en l, van de Vreemdelingenwet 2000, rechtmatig in Nederland verblijf hebben als bedoeld in artikel 8, onder g of h, van de Vreemdelingenwet 2000."
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf2,,Artikel3a,De werknemer,,,Artikel 3a,,Zo nodig in afwijking van artikel 3 en de daarop berustende bepalingen: wordt als werknemer beschouwd de persoon van wie de verzekering op grond van deze wet voortvloeit uit de toepassing van bepalingen van een verdrag of van een besluit van een volkenrechtelijke organisatie; wordt niet als werknemer beschouwd de persoon op wie op grond van een verdrag of een besluit van een volkenrechtelijke organisatie de wetgeving van een andere mogendheid van toepassing is.
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf2,,Artikel4,De werknemer,,,Artikel 4,,"Als dienstbetrekking wordt mede beschouwd de arbeidsverhouding van de persoon die: anders dan als zelfstandige en anders dan als thuiswerker, op grond van een overeenkomst tot aanneming van werk als bedoeld in artikel 750 van Boek 7 van het Burgerlijk Wetboek, persoonlijk een werk tot stand brengt; de in onderdeel a bedoelde persoon bij het tot stand brengen van dat werk bijstaat; krachtens overeenkomst met een ander tegen beloning geregeld zijn bemiddeling verleent tot het tot stand komen van overeenkomsten tussen daartoe door hem te bezoeken personen en die ander, mits hij de bedoelde bemiddeling uitsluitend voor die ander verleent, het verlenen van die bemiddeling niet een voor hem bijkomstige werkzaamheid is en hij zich daarbij doorgaans door niet meer dan twee andere personen laat bijstaan; krachtens overeenkomst met een ander tegen beloning geregeld zijn bemiddeling verleent tot het tot stand komen van overeenkomsten tussen daartoe door hem te bezoeken personen en een opdrachtgever van die ander, mits hij de bedoelde bemiddeling uitsluitend voor die ander verleent, het verlenen van die bemiddeling niet een voor hem bijkomstige werkzaamheid is en hij zich daarbij doorgaans door niet meer dan twee andere personen laat bijstaan; de bestuurder van een vennootschap als bedoeld in artikel 132, derde lid, van Boek 2 van het Burgerlijk Wetboek, is, dan wel, indien een vennootschap toepassing geeft aan artikel 129a van Boek 2 van het Burgerlijk Wetboek, de uitvoerend bestuurder is, bedoeld in artikel 129a, eerste lid, van Boek 2 van het Burgerlijk Wetboek, van een vennootschap als bedoeld in artikel 132, derde lid, van Boek 2 van het Burgerlijk Wetboek, met uitsluiting van de directeur-grootaandeelhouder, bedoeld in artikel 6, eerste lid, onderdeel d; als lid van de bemanning van een vissersvaartuig aanspraak heeft op een aandeel in de besomming, tenzij hij: als zodanig tegen geldelijke gevolgen van arbeidsongeschiktheid is verzekerd bij het Sociaal Fonds voor de Maatschapsvisserij; of exploitant of mede-exploitant van het vaartuig is; zijn militaire dienstplicht of in plaats daarvan vervangende dienst vervult; degene, die als bestuurder werkzaam is ten behoeve van een coöperatie die met haar leden uitsluitend arbeidsovereenkomsten als bedoeld in artikel 610, eerste lid, van Boek 7 van het Burgerlijk Wetboek sluit, indien hij lid is van de coöperatie en deze blijkens haar statuten en met inachtneming van de vereisten gesteld in het derde lid en krachtens het vierde lid kan worden beschouwd als een coöperatie met werknemerszelfbestuur. Het eerste lid, onderdeel a en b, blijft buiten toepassing, indien de in onderdeel a bedoelde overeenkomst rechtstreeks is aangegaan met een natuurlijk persoon ten behoeve van diens persoonlijke aangelegenheden. Een coöperatie als bedoeld in het eerste lid, onderdeel h, dient te voldoen aan de vereisten, dat: doorgaans ten minste twee derde deel van het aantal personen met wie de coöperatie een arbeidsovereenkomst als bedoeld in artikel 610, eerste lid, van Boek 7 van het Burgerlijk Wetboek heeft gesloten, lid van de coöperatie is; het lidmaatschap van de coöperatie door ieder van de in onderdeel a bedoelde personen onder dezelfde voorwaarden kan worden verkregen en voorwaarden van geldelijke aard geen wezenlijke belemmering vormen voor de verkrijging van het lidmaatschap; de leden van de coöperatie ieder één stem hebben; de arbeidsvoorwaarden van de leden van de coöperatie niet wezenlijk verschillen van hetgeen gebruikelijk is in gelijksoortige ondernemingen in de desbetreffende sector; een lid van de coöperatie behoudens in geval van liquidatie van de coöperatie, bij beëindiging van zijn lidmaatschap ten hoogste aanspraak kan maken op het door hem uit hoofde van een geldelijke voorwaarde als bedoeld in onderdeel b, hetzij uit anderen hoofde aan de coöperatie betaalde bedrag, herrekend naar geldontwaarding. Bij algemene maatregel van bestuur kunnen regels worden gesteld waarbij de in het derde lid genoemde vereisten nader worden bepaald; worden aangevuld met andere vereisten op grond waarvan de coöperatie kan worden beschouwd als een coöperatie met werknemerszelfbestuur. Voor de toepassing van het eerste lid, onderdeel a, wordt onder zelfstandige verstaan de persoon die: in Nederland woont en die belastbare winst uit onderneming geniet als bedoeld in paragraaf 3.2.1 van de Wet inkomstenbelasting 2001, tenzij hij de onderneming niet voor eigen rekening feitelijk drijft; of niet in Nederland woont en die belastbare winst uit Nederlandse onderneming geniet als bedoeld in afdeling 7.2 van de Wet inkomstenbelasting 2001, tenzij hij de onderneming niet voor eigen rekening feitelijk drijft; directeur-grootaandeelhouder is als bedoeld in artikel 6, eerste lid, onderdeel d, en het werk tot stand brengt uitsluitend voor rekening en risico van de onderneming van de rechtspersoon waarvan hij directeur-grootaandeelhouder is."
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf2,,Artikel5,De werknemer,,,Artikel 5,,"Bij of krachtens algemene maatregel van bestuur kunnen regels worden gesteld, op grond waarvan eveneens als dienstbetrekking wordt beschouwd de arbeidsverhouding van de persoon die: als thuiswerker arbeid verricht; de in onderdeel a bedoelde persoon als hulp bij het verrichten van de arbeid bijstaat; als musicus of anderszins als artiest optreedt of als beroep een tak van sport beoefent; en tegen beloning persoonlijk arbeid verricht en wiens arbeidsverhouding niet reeds op grond van dit artikel en de artikelen 3 en 4 als dienstbetrekking wordt beschouwd, doch hiermee maatschappelijk gelijk kan worden gesteld."
BWBR0004045,Werkloosheidswet,HoofdstukI,Algemene bepalingen,Paragraaf2,,Artikel6,De werknemer,,,Artikel 6,,"Als dienstbetrekking wordt niet beschouwd de arbeidsverhouding van een persoon: die minister, staatssecretaris, commissaris van de Koning, burgemeester, Nationale ombudsman, substituut-ombudsman, lid van gedeputeerde staten, wethouder, voorzitter van een waterschap of de Rijksvertegenwoordiger voor de openbare lichamen Bonaire, Sint Eustatius en Saba, is; die als vrijwilliger werkzaamheden verricht als politiebeambte, alsmede van degene die als vrijwilliger al dan niet tegen loon werkzaamheden verricht bij de brandweer; die doorgaans op minder dan vier dagen per week uitsluitend of nagenoeg uitsluitend diensten verricht ten behoeve van het huishouden van de natuurlijke persoon tot wie hij in dienstbetrekking staat; die directeur-grootaandeelhouder is; die als vrijwilliger als bedoeld in artikel 2, zesde lid, van de Wet op de loonbelasting 1964, uitsluitend vergoedingen of verstrekkingen als bedoeld in dat lid ontvangt met een gezamenlijke waarde van ten hoogste de in dat artikellid genoemde bedragen per maand en per kalenderjaar. Voor de toepassing van het eerste lid, onderdeel c, wordt onder het verrichten van diensten ten behoeve van een huishouden mede verstaan het verlenen van zorg aan de leden van dat huishouden. Het eerste lid is alleen van toepassing op de aldaar bedoelde arbeidsverhoudingen. Door Onze Minister worden, in overeenstemming met Onze Minister van Financiën, regels gesteld omtrent hetgeen onder directeur-grootaandeelhouder, bedoeld in het eerste lid, onderdeel d, wordt verstaan. Als dienstbetrekking wordt niet beschouwd de arbeidsverhouding van de overheidswerknemer, voor zover de overheidswerknemer als gevolg van de beëindiging van die arbeidsverhouding recht op wachtgeld heeft verkregen of verkrijgt. Onder wachtgeld als bedoeld in de eerste zin wordt verstaan: een wachtgeld in de zin van het Rijkswachtgeldbesluit 1959, zoals dat luidde op 31 december 2000, of een soortgelijke uitkering van een overheidswerknemer op grond van ontslag of werkloosheid alsmede een wachtgeld of daarmee gelijkgestelde uitkering in de zin van de bij of krachtens de Kaderwet militaire pensioenen vastgestelde bepalingen, met uitzondering van een uitkering in verband met functioneel leeftijdsontslag of vrijwillig vervroegd uittreden."
