law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0018450,Zorgverzekeringswet,Hoofdstuk1,Algemene bepaling,Artikel1,,,,,,Artikel 1,,"In deze wet en de daarop berustende bepalingen wordt verstaan onder: verzekeraar: een verzekeringsonderneming als bedoeld in de richtlijn solvabiliteit II; zorgverzekeraar: een verzekeraar, voor zover deze zorgverzekeringen aanbiedt of uitvoert; verzekeringnemer: een persoon die met een zorgverzekeraar een zorgverzekering heeft gesloten; zorgverzekering: een tussen een zorgverzekeraar en een verzekeringnemer ten behoeve van een verzekeringsplichtige gesloten schadeverzekering, die voldoet aan hetgeen daarover bij of krachtens deze wet is geregeld, en waarvan de verzekerde prestaties het bij of krachtens deze wet geregelde niet te boven gaan; verzekeringsplichtige: degene die op grond van artikel 2 verplicht is zich krachtens een zorgverzekering te verzekeren of te laten verzekeren; verzekerde: degene wiens risico van behoefte aan zorg of overige diensten, als bedoeld in artikel 10, door een zorgverzekering wordt gedekt; verplicht eigen risico: een bedrag aan kosten van zorg of overige diensten als bedoeld bij of krachtens artikel 11, dat voor rekening van de verzekerde blijft; vrijwillig eigen risico: een door de verzekeringnemer met de zorgverzekeraar als onderdeel van de zorgverzekering overeengekomen bedrag aan kosten van zorg of overige diensten als bedoeld bij of krachtens artikel 11, dat de verzekerde voor zijn rekening zal nemen; zorgpolis: de akte waarin de tussen een verzekeringnemer en een zorgverzekeraar gesloten zorgverzekering is vastgelegd; modelovereenkomst: model van een zorgverzekering, waarin een overzicht wordt gegeven van de rechten en plichten die de verzekeringnemer, de verzekerde en de zorgverzekeraar jegens elkaar zullen hebben indien een overeenkomst volgens het desbetreffende model wordt gesloten; Zvw-pgb: een gemaximeerde vergoeding voor de kosten die de verzekerde maakt voor het betrekken van zorg of een andere dienst; inhoudingsplichtige: de inhoudingsplichtige in de zin van de Wet op de loonbelasting 1964 dan wel de werkgever in de zin van de Wet financiering sociale verzekeringen; instelling: een organisatorisch verband dat zorg of een andere dienst verleent waarop aanspraak bestaat ingevolge een zorgverzekering of ingevolge artikel 3.1.1 van de Wet langdurige zorg; een organisatorisch verband dat gevestigd is buiten het grondgebied van het Europese deel van Nederland en overeenkomstig de daar geldende wetgeving rechtmatig gezondheidszorg verstrekt als bedoeld bij en krachtens artikel 11; Onze Minister: Onze Minister voor Medische Zorg; zorgautoriteit: de Nederlandse Zorgautoriteit, bedoeld in de Wet marktordening gezondheidszorg; Zorginstituut: het Zorginstituut Nederland, genoemd in artikel 58, eerste lid; Zorgverzekeringsfonds: het fonds, genoemd in artikel 39; richtlijn solvabiliteit II: richtlijn 2009/138/EG van het Europees Parlement en de Raad van 25 november 2009 betreffende de toegang tot en uitoefening van het verzekerings- en het herverzekeringsbedrijf (Solvabiliteit II) (PbEU 2009, L 335); Wlz-uitvoerder: de rechtspersoon, bedoeld in artikel 1.1.1 van de Wet langdurige zorg; loontijdvak: het loontijdvak, bedoeld in artikel 25, eerste en vierde lid, van de Wet op de loonbelasting 1964; inspecteur: de functionaris van de rijksbelastingdienst die als zodanig bij regeling van Onze Minister van Financiën is aangewezen; burgerservicenummer: het nummer, bedoeld in artikel 1, onderdeel b, van de Wet algemene bepalingen burgerservicenummer; premie: de premie, bedoeld in afdeling 3.3.1; bestuursrechtelijke premie: de premie, bedoeld in de artikelen 18d en 18e; Sociale verzekeringsbank: Sociale verzekeringsbank, bedoeld in artikel 1, eerste lid, onderdeel d, van de Wet structuur uitvoeringsorganisatie werk en inkomen; vervallen; vervallen; het CAK: het CAK, genoemd in artikel 6.1.1, eerste lid, van de Wet langdurige zorg."
BWBR0018450,Zorgverzekeringswet,Hoofdstuk2,De plicht tot het sluiten van een zorgverzekering,Paragraaf2.1,,Artikel2,De verzekeringsplicht,,,Artikel 2,,"Degene die ingevolge de Wet langdurige zorg en de daarop gebaseerde regelgeving van rechtswege verzekerd is, is verplicht zich krachtens een zorgverzekering te verzekeren of te laten verzekeren tegen het in artikel 10 bedoelde risico. In afwijking van het eerste lid is niet verzekeringsplichtig: de militaire ambtenaar in werkelijke dienst als bedoeld in artikel 1, eerste lid, onderdeel a juncto onderdeel b, van de Wet ambtenaren defensie, alsmede de militair aan wie buitengewoon verlof met behoud van militaire inkomsten is verleend; de natuurlijke persoon die op grond van artikel 64, eerste lid, van de Wet financiering sociale verzekeringen is ontheven van de verplichtingen, opgelegd op grond van de Wet langdurige zorg. Degene die het gezag over een minderjarige, jonger dan achttien jaar, uitoefent, een curator, een bewindvoerder of een mentor als bedoeld in de titels 16, 19 of 20 van Boek 1 van het Burgerlijk Wetboek, zorgt ervoor dat de minderjarige verzekeringsplichtige, dan wel de onder curatele, bewind of mentorschap gestelde verzekeringsplichtige krachtens een zorgverzekering verzekerd is."
BWBR0018450,Zorgverzekeringswet,Hoofdstuk2,De plicht tot het sluiten van een zorgverzekering,Paragraaf2.2,,Artikel3,De acceptatieplicht,,,Artikel 3,,"Een zorgverzekeraar is verplicht met of ten behoeve van iedere verzekeringsplichtige die in zijn werkgebied woont alsmede met of ten behoeve van iedere verzekeringsplichtige die in het buitenland woont, desgevraagd een zorgverzekering te sluiten. Indien een zorgverzekeraar in een provincie verschillende varianten van de zorgverzekering aanbiedt, kan voor iedere in die provincie wonende verzekeringsplichtige uit alle varianten worden gekozen. De zorgverzekeraar stelt alle varianten van de zorgverzekering die hij in een provincie aanbiedt, in de vorm van modelovereenkomsten ter beschikking aan personen die overwegen ten behoeve van een in die provincie wonende verzekeringsplichtige een zorgverzekering met die verzekeraar te sluiten, alsmede, indien de zorgverzekeraar varianten toevoegt of wijzigt, aan de verzekeringnemers die ten behoeve van een in die provincie wonende verzekeringsplichtige een zorgverzekering met hem hebben gesloten. In afwijking van het eerste lid is een zorgverzekeraar niet verplicht een zorgverzekering te sluiten met of ten behoeve van een verzekeringsplichtige: die reeds krachtens een zorgverzekering verzekerd is, of wiens eerdere zorgverzekering hij of de verzekeringnemer binnen een periode van vijf jaar, gelegen onmiddellijk voorafgaande aan het verzoek tot het sluiten van de verzekering, heeft opgezegd of ontbonden wegens: opzettelijke misleiding door de verzekeringnemer of de verzekerde, of het niet betalen van de premie, bedoeld in artikel 17, vijfde lid. In afwijking van het tweede lid kan ten behoeve van een in het buitenland wonende verzekeringsplichtige worden gekozen tussen alle varianten van de zorgverzekering die een zorgverzekeraar in Nederland aanbiedt. In afwijking van het derde lid worden degene die ten behoeve van een in het buitenland wonende verzekeringsplichtige een zorgverzekering wenst te sluiten alle modelovereenkomsten die de zorgverzekeraar in Nederland hanteert ter beschikking gesteld, en worden, indien eenmaal een zorgverzekering is gesloten, de verzekeringnemer alle toegevoegde of gewijzigde varianten die die zorgverzekeraar aanbiedt ter beschikking gesteld."
BWBR0018450,Zorgverzekeringswet,Hoofdstuk2,De plicht tot het sluiten van een zorgverzekering,Paragraaf2.2,,Artikel4,De acceptatieplicht,,,Artikel 4,,"Degene die een zorgverzekering wenst te sluiten, vermeldt bij het verzoek daartoe het burgerservicenummer van de te verzekeren persoon, indien deze persoon daarover beschikt. De zorgverzekeraar stelt, voor zover dat redelijkerwijs nodig is voor de uitvoering van de zorgverzekering en van deze wet, de identiteit van de te verzekeren persoon vast. De in het tweede lid bedoelde vaststelling geschiedt aan de hand van documenten als bedoeld in artikel 1 van de Wet op de identificatieplicht, die de verzekeringnemer of de te verzekeren persoon hem desgevraagd ter inzage geeft. De zorgverzekeraar neemt aard en nummer van de in het derde lid bedoelde documenten in zijn administratie op. De zorgverzekeraar verlangt van de vreemdeling, bedoeld in de Vreemdelingenwet 2000, voor wie hem wordt verzocht een zorgverzekering te sluiten, een kopie van het document of de schriftelijke verklaring, bedoeld in artikel 9, eerste lid, van die wet, dat wordt aangemerkt als een bescheid als bedoeld in artikel 4:3, tweede lid, van de Algemene wet bestuursrecht."
BWBR0018450,Zorgverzekeringswet,Hoofdstuk2,De plicht tot het sluiten van een zorgverzekering,Paragraaf2.2,,Artikel4a,De acceptatieplicht,,,Artikel 4a,,"Degene die een zorgverzekering wenst te sluiten, vermeldt bij het verzoek daartoe zijn adres, en indien hij niet de te verzekeren persoon is, het adres van de te verzekeren persoon. De zorgverzekeraar sluit de verzekering niet zolang het verstrekte adres van de persoon of personen, bedoeld in het eerste lid, niet in de basisregistratie personen voorkomt of afwijkt van het adres waaronder deze persoon of personen in die administratie als ingezetene staat of staan ingeschreven. In afwijking van het tweede lid wordt de te verzekeren persoon ingeschreven: indien degene die de zorgverzekering wenst te sluiten een verklaring van de werkgever of een salarisafschrift heeft overgelegd, waaruit blijkt dat de te verzekeren persoon, onder vermelding van de ingangsdatum van de dienstbetrekking, ter zake van in Nederland of op het continentaal plat als bedoeld in artikel 1.1.1 van de Wet langdurige zorg, in dienstbetrekking verrichte arbeid aan de loonbelasting is onderworpen, mits die verklaring of het salarisafschrift niet ouder zijn dan één maand; indien degene die de zorgverzekering wenst te sluiten een verklaring van de Sociale verzekeringsbank heeft overgelegd waaruit blijkt dat de te verzekeren persoon verzekerd is ingevolge de Wet langdurige zorg; of indien de persoon of de personen, bedoeld in het tweede lid, van de afwijking redelijkerwijs geen verwijt kan worden gemaakt. Bij ministeriële regeling kunnen regels worden gesteld met betrekking tot het derde lid."
BWBR0018450,Zorgverzekeringswet,Hoofdstuk2,De plicht tot het sluiten van een zorgverzekering,Paragraaf2.3,,Artikel5,Begin en einde van de zorgverzekering,,,Artikel 5,,"De zorgverzekering gaat in op de dag waarop de zorgverzekeraar het verzoek, bedoeld in artikel 3, eerste lid, en, indien het tweede of vijfde lid van dat artikel van toepassing is, de aanduiding van de variant waar de verzekeringnemer voor kiest, heeft ontvangen. Indien de zorgverzekeraar op basis van het in het eerste lid bedoelde verzoek niet vast kan stellen of hij verplicht is voor de te verzekeren persoon een zorgverzekering te sluiten, en hij de persoon die de verzekering wenst te sluiten in verband daarmee uitnodigt de voor deze vaststelling noodzakelijke gegevens te verschaffen, gaat de zorgverzekering, in afwijking van het eerste lid, in op de dag waarop laatstbedoelde persoon aan dit verzoek heeft voldaan. De zorgverzekeraar verstrekt degene die het verzoek, bedoeld in het eerste lid, doet en, indien dit een ander is dan degene ten behoeve van wiens verzekering het verzoek is gedaan, laatstbedoelde persoon onverwijld: een bewijs van het verzoek, bedoeld in het eerste lid, waarop de datum van ontvangst is vermeld; een bewijs van de ontvangst van gegevens, bedoeld in het tweede lid, waarop de datum van de ontvangst is vermeld. Indien degene ten behoeve van wie de zorgverzekering wordt gesloten op de dag waarop de zorgverzekeraar het verzoek, bedoeld in het eerste lid, ontvangt reeds op grond van een zorgverzekering verzekerd is, en de verzekeringnemer aangeeft de zorgverzekering te willen laten ingaan op een door hem aangegeven, latere dag dan de dag, bedoeld in het eerste of tweede lid, gaat de verzekering op die latere dag in. De zorgverzekering werkt, zonodig in afwijking van artikel 925, eerste lid, van Boek 7 van het Burgerlijk Wetboek, terug: indien zij ingaat binnen vier maanden nadat de verzekeringsplicht is ontstaan, tot en met de dag waarop die plicht ontstond; indien zij ingaat binnen een maand nadat een eerdere zorgverzekering met ingang van 1 januari van een kalenderjaar of wegens wijziging van de voorwaarden met toepassing van artikel 940, vierde lid, van Boek 7 van het Burgerlijk Wetboek is geëindigd door opzegging, tot en met de dag na die waarop de eerdere zorgverzekering is geëindigd. Bij ministeriële regeling kunnen nadere regels worden gesteld over de vaststelling, bedoeld in het tweede lid, en over het verkrijgen van de gegevens die noodzakelijk zijn voor deze vaststelling."
BWBR0018450,Zorgverzekeringswet,Hoofdstuk2,De plicht tot het sluiten van een zorgverzekering,Paragraaf2.3,,Artikel6,Begin en einde van de zorgverzekering,,,Artikel 6,,"De zorgverzekering eindigt van rechtswege met ingang van de dag volgende op de dag waarop: de verzekeraar ten gevolge van wijziging of intrekking van zijn vergunning tot uitoefening van het schadeverzekeringsbedrijf, geen zorgverzekeringen meer mag aanbieden; de verzekerde ten gevolge van wijziging van het werkgebied buiten het werkgebied van de zorgverzekeraar komt te wonen; de verzekerde overlijdt; de verzekeringsplicht van de verzekerde eindigt. De zorgverzekering eindigt van rechtswege met ingang van de eerste dag van de tweede maand volgende op de dag waarop de verzekerde, zonder dat zijn verzekeringsplicht eindigt, ten gevolge van verhuizing komt te wonen buiten een provincie waarin zijn zorgverzekeraar de ten behoeve van hem gesloten variant van de zorgverzekering aanbiedt of uitvoert. De zorgverzekeraar stelt de verzekeringnemer uiterlijk twee maanden voordat een zorgverzekering op grond van het eerste lid, onderdeel a of b, eindigt, van dit einde op de hoogte, onder vermelding van de reden daarvan en de datum waarop de verzekering eindigt. De verzekeringnemer stelt de zorgverzekeraar uit eigen beweging of op diens verzoek onverwijld op de hoogte van alle feiten en omstandigheden over de verzekerde die op grond van het eerste lid, onderdeel c of d, dan wel het tweede lid tot het einde van de zorgverzekering hebben geleid of kunnen leiden. De Sociale verzekeringsbank gaat op basis van vergelijking van bij ministeriële regeling aan te wijzen bestanden na voor welke personen in weerwil van het ontbreken van hun verzekeringsplicht een zorgverzekering wordt uitgevoerd en informeert hun zorgverzekeraar daarover. Indien de zorgverzekeraar op grond van de in het vierde of vijfde lid bedoelde gegevens tot de conclusie komt dat de zorgverzekering zal eindigen of geëindigd is, deelt hij dit, onder vermelding van de reden daarvan en de datum waarop de verzekering eindigt of geëindigd is, onverwijld aan de verzekeringnemer mede. Bij ministeriële regeling kunnen nadere regels worden gesteld over de feiten en omstandigheden, bedoeld in het vierde lid, over de wijze waarop de zorgverzekeraar van die feiten en omstandigheden kennisneemt alsmede over de wijze waarop de zorgverzekeraar tot de conclusie, bedoeld in het zesde lid komt."
BWBR0018450,Zorgverzekeringswet,Hoofdstuk2,De plicht tot het sluiten van een zorgverzekering,Paragraaf2.3,,Artikel7,Begin en einde van de zorgverzekering,,,Artikel 7,,"De verzekeringnemer kan de zorgverzekering uiterlijk 31 december van ieder jaar met ingang van 1 januari van het volgende kalenderjaar opzeggen. De verzekeringnemer die een ander dan zichzelf heeft verzekerd, kan de zorgverzekering opzeggen indien de verzekerde krachtens een andere zorgverzekering verzekerd wordt. In afwijking van artikel 940, vierde lid, van Boek 7 van het Burgerlijk Wetboek kan de verzekeringnemer niet opzeggen indien een wijziging in de verzekerde prestaties ten nadele van de verzekeringnemer of de verzekerde rechtstreeks voortvloeit uit een wijziging van de bij of krachtens de artikelen 11 tot en met 14a gestelde regels. Een verzekeringnemer kan zijn zorgverzekering opzeggen binnen zes weken nadat hij een mededeling als bedoeld in artikel 78c, tweede lid, of artikel 92, eerste lid, van de Wet marktordening gezondheidszorg over zijn zorgverzekeraar heeft ontvangen. De opzegging, bedoeld in het tweede of vierde lid, gaat in op de eerste dag van de tweede kalendermaand volgende op de dag waarop de verzekeringnemer heeft opgezegd. In afwijking van het vierde of vijfde lid gaat een opzegging, bedoeld in het tweede lid, in met ingang van de dag waarop de verzekerde krachtens de andere zorgverzekering verzekerd wordt, indien die opzegging voorafgaande aan laatstbedoelde dag door de zorgverzekeraar is ontvangen."
BWBR0018450,Zorgverzekeringswet,Hoofdstuk2,De plicht tot het sluiten van een zorgverzekering,Paragraaf2.3,,Artikel8,Begin en einde van de zorgverzekering,,,Artikel 8,,"Aan een opzegging of ontbinding van de zorgverzekering wegens het niet betalen van de verschuldigde premie, wordt geen terugwerkende kracht verleend, noch wordt daaraan een verplichting verbonden tot ongedaanmaking of vergoeding van hetgeen partijen reeds ter nakoming van de zorgverzekering jegens elkaar hebben verricht. Een zorgverzekeraar mag de zorgverzekering gedurende de periode, bedoeld in artikel 24, eerste lid, niet opzeggen of ontbinden. Artikel 934 van Boek 7 van het Burgerlijk Wetboek is tevens van toepassing met betrekking tot de eerste premie die een verzekeringnemer voor een zorgverzekering verschuldigd is."
BWBR0018450,Zorgverzekeringswet,Hoofdstuk2,De plicht tot het sluiten van een zorgverzekering,Paragraaf2.3,,Artikel8a,Begin en einde van de zorgverzekering,,,Artikel 8a,,"Nadat de zorgverzekeraar de verzekeringnemer heeft aangemaand tot betaling van een of meer vervallen termijnen van de verschuldigde premie, kan de verzekeringnemer gedurende de tijd dat de verschuldigde premie, rente en incassokosten niet zijn voldaan, de zorgverzekering niet opzeggen, tenzij de zorgverzekeraar de zorgverzekering of de dekking daarvan heeft geschorst of opgeschort. Het eerste lid lijdt uitzondering indien de zorgverzekeraar de verzekeringnemer binnen twee weken te kennen geeft de opzegging te bevestigen."
