law_id,law_name,hoofdstuk,hoofdstuk_titel,afdeling,afdeling_titel,paragraaf,paragraaf_titel,subparagraaf_titel,titel_titel,artikel,article_name,text
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling1,Definities,Artikel1,,,,Artikel 1,,"In deze wet en de daarop berustende bepalingen wordt verstaan onder: aanvullend document: document waarin de aanvullende informatie is opgenomen, bedoeld in artikel 6, eerste lid, tweede alinea van de Richtlijn 2011/98/EU van het Europees Parlement en de Raad van 13 december 2011 betreffende één enkele aanvraagprocedure voor een gecombineerde vergunning voor onderdanen van derde landen om te verblijven en te werken op het grondgebied van een lidstaat, alsmede inzake een gemeenschappelijk pakket rechten voor werknemers uit derde landen die legaal in een lidstaat verblijven (PbEU 2011, L343); ambtenaren belast met de grensbewaking: de ambtenaren, bedoeld in artikel 46; ambtenaren belast met het toezicht op referenten: de ambtenaren, bedoeld in artikel 47a; ambtenaren belast met het toezicht op vreemdelingen: de ambtenaren, bedoeld in artikel 47; asiel: het verblijf van de vreemdeling in Nederland op de gronden, bedoeld in de artikelen 29 en 34; buitengrenzen: de Nederlandse zeegrenzen, alsmede lucht- of zeehavens waar grenscontrole op personen wordt uitgeoefend; Dublinverordening: de verordening (EU) nr. 604/2013 van het Europees Parlement en de Raad van 26 juni 2013 tot vaststelling van de criteria en instrumenten om te bepalen welke lidstaat verantwoordelijk is voor de behandeling van een verzoek om internationale bescherming dat door een onderdaan van een derde land of een staatloze bij een van de lidstaten wordt ingediend (PbEU 2013, L 180); erkende referent: de referent die krachtens artikel 2c als zodanig is erkend; Etias-verordening: Verordening (EU) 2018/1240 van het Europees Parlement en de Raad van 12 september 2018 tot oprichting van een Europees reisinformatie- en -autorisatiesysteem (Etias) en tot wijziging van de Verordeningen (EU) nr. 1077/2011, (EU) nr. 515/2014, (EU) 2016/399, (EU) 2016/1624 en (EU) 2017/2226 (PbEU 2018, L 236); Europese verordeningen die betrekking hebben op biometrische gegevens: Verordening (EU) nr. 603/2013 van het Europees Parlement en de Raad van 26 juni 2013 betreffende de instelling van „Eurodac» voor de vergelijking van vingerafdrukken ten behoeve van een doeltreffende toepassing van Verordening (EU) nr. 604/2013 tot vaststelling van de criteria en instrumenten om te bepalen welke lidstaat verantwoordelijk is voor de behandeling van een verzoek om internationale bescherming dat door een onderdaan van een derde land of een staatloze bij een van de lidstaten wordt ingediend en betreffende verzoeken van rechtshandhavingsinstanties van de lidstaten en Europol om vergelijkingen van Eurodac-gegevens ten behoeve van rechtshandhaving, en tot wijziging van Verordening (EU) nr. 1077/2011 tot oprichting van een Europees Agentschap voor het operationeel beheer van grootschalige IT- systemen op het gebied van vrijheid, veiligheid en recht (PBEU L 180/1); Verordening (EG) 767/2008 van het Europees Parlement en de Raad van 9 juli 2008 betreffende het visuminformatiesysteem (VIS) en de uitwisseling tussen de lidstaten van gegevens op het gebied van visa voor kort verblijf (PbEU L218); Verordening (EG) 810/2009 van het Europees Parlement en de Raad van 13 juli 2009 tot vaststelling van een gemeenschappelijke visumcode (Pb EU L 243); Verordening (EG) nr. 1030/2002 van de Raad van de Europese Unie van 13 juni 2002 betreffende de invoering van een uniform model voor verblijfstitels voor onderdanen van derde landen (PbEU L157); Verordening (EU) 2017/2226 van het Europees Parlement en de Raad van 30 november 2017 tot instelling van een inreis-uitreissysteem (EES) voor de registratie van inreis- en uitreisgegevens en van gegevens over weigering van toegang ten aanzien van onderdanen van derde landen die de buitengrenzen overschrijden en tot vaststelling van de voorwaarden voor toegang tot het EES voor rechtshandhavingsdoeleinden en tot wijziging van de overeenkomst ter uitvoering van het te Schengen gesloten akkoord en Verordeningen (EG) nr. 767/2008 en (EU) nr. 1077/2011 (PbEU 2017, L 327); gecombineerde vergunning: verblijfsvergunning regulier voor bepaalde tijd als bedoeld in artikel 14, verleend door Onze Minister onder de beperking «arbeid in loondienst», «lerend werken» of «seizoenarbeid», tevens zijnde vergunning voor het verrichten van werkzaamheden bij een specifieke werkgever, met het aanvullend document; gemeenschapsonderdanen: onderdanen van de lidstaten van de Europese Unie die op grond van het Verdrag betreffende de werking van de Europese Unie gerechtigd zijn een andere lidstaat binnen te komen en er te verblijven; familieleden van de onder 1° genoemden die de nationaliteit van een derde staat bezitten en die uit hoofde van een ter toepassing van het Verdrag betreffende de werking van de Europese Unie genomen besluit gerechtigd zijn een lidstaat binnen te komen en er te verblijven; onderdanen van een staat die partij is bij de Overeenkomst betreffende de Europese Economische Ruimte van 2 mei 1992, die ter zake van binnenkomst en verblijf in een lidstaat rechten genieten die gelijk zijn aan die van burgers van de lidstaten van de Europese Unie; familieleden van de onder 3° genoemden die de nationaliteit van een derde staat bezitten en die krachtens bovengenoemde Overeenkomst gerechtigd zijn een lidstaat binnen te komen en er te verblijven; onderdanen van de Zwitserse Bondsstaat, indien zij verblijven op grond van de op 21 juni 1999 te Luxemburg totstandgekomen Overeenkomst tussen de Europese Gemeenschap en haar lidstaten, enerzijds, en de Zwitserse Bondsstaat, anderzijds, over het vrije verkeer van personen (Trb. 2000, 16 en 86); familieleden van de onder 5° genoemden die de nationaliteit van een derde staat bezitten en die krachtens de onder 5° genoemde Overeenkomst gerechtigd zijn een lidstaat binnen te komen en er te verblijven; grensprocedure: de asielprocedure, bedoeld in artikel 43 van de Procedurerichtlijn; herhaalde aanvraag: een aanvraag, die op grond van artikel 4:6, tweede lid, van de Algemene wet bestuursrecht kan worden afgewezen; inreisverbod: het inreisverbod, bedoeld in artikel 3, punt 6, van de Terugkeerrichtlijn; internationale bescherming: internationale bescherming als bedoeld in artikel 2, onder a, van de Kwalificatierichtlijn; de korpschef: de korpschef, bedoeld in artikel 27 van de Politiewet 2012; Kwalificatierichtlijn: de richtlijn nr. 2011/95/EU van het Europees Parlement en de Raad van 13 december 2011 inzake normen voor de erkenning van onderdanen van derde landen of staatlozen als personen die internationale bescherming genieten, voor een uniforme status voor vluchtelingen of voor personen die in aanmerking komen voor subsidiaire bescherming, en voor de inhoud van de verleende bescherming (PbEU 2011, L 337); langdurig ingezetene: houder van een EU-verblijfsvergunning voor langdurig ingezetenen als bedoeld in richtlijn nr. 2003/109/EG van de Raad van de Europese Unie van 25 november 2003 betreffende de status van langdurig ingezeten onderdanen van derde landen (PbEU 2004, L16), zoals gewijzigd door richtlijn 2011/51/EU van het Europees Parlement en de Raad teneinde haar werkingssfeer uit te breiden tot personen die internationale bescherming genieten (PbEU 2011, L 132), dan wel van een door een andere lidstaat van de Europese Unie op grond van deze richtlijn afgegeven EU-verblijfsvergunning voor langdurig ingezetenen; minderjarige: eenieder die de leeftijd van 18 jaar nog niet heeft bereikt; Onze Minister: Onze Minister van Veiligheid en Justitie; Opvangrichtlijn: Richtlijn 2013/33/EU van het Europees Parlement en de Raad van 26 juni 2013 tot vaststelling van normen voor de opvang van verzoekers om internationale bescherming (PbEU 2013, L 180); opvolgende aanvraag: een volgend verzoek als bedoeld in artikel 2, onderdeel q, van de Procedurerichtlijn; overdrachtsbesluit: het besluit, bedoeld in artikel 26 van de Dublinverordening; persoonsgegevens en verwerking van persoonsgegevens: hetgeen daaronder wordt verstaan in artikel 4, aanhef en onder 1 en 2, van de Algemene verordening gegevensbescherming; Procedurerichtlijn: Richtlijn 2013/32/EU van het Europees Parlement en de Raad van 26 juni 2013 betreffende gemeenschappelijke procedures voor de toekenning en intrekking van internationale bescherming (PbEU 2013, L 180); referent: degene die overeenkomstig artikel 2a een verklaring heeft afgelegd of als zodanig is aangewezen; reisautorisatie: een reisautorisatie als bedoeld in artikel 3, eerste lid, onder 5, van de Etias-verordening; richtlijn tijdelijke bescherming: richtlijn nr. 2001/55/EG van de Raad van 20 juli 2001 betreffende minimumnormen voor het verlenen van tijdelijke bescherming in geval van massale toestroom van ontheemden en maatregelen ter bevordering van een evenwicht tussen de inspanning van de lidstaten voor de opvang en het dragen van de consequentie van de opvang van deze personen (PbEG L 212); Schengengrenscode: Verordening (EU) 2016/399 van het Europees Parlement en de Raad van 9 maart 2016 betreffende een Uniecode voor de overschrijding van de grenzen door personen (Schengengrenscode) (PbEU, L77); SIS-verordening grenscontroles: Verordening (EU) 2018/1861 van 28 november 2018 betreffende de instelling, de werking en het gebruik van het Schengeninformatiesysteem (SIS) op het gebied van grenscontroles, tot wijziging van de Overeenkomst ter uitvoering van het Akkoord van Schengen en tot wijziging en intrekking van Verordening (EG) nr. 1987/2006 (PbEU 2018, L 312); SIS-verordening terugkeer: Verordening (EU) 2018/1860 van het Europees Parlement en de Raad van 28 november 2018 betreffende het gebruik van het Schengeninformatiesysteem voor de terugkeer van illegaal verblijvende onderdanen van derde landen (PbEU 2018, L 312); terugkeerbesluit: het terugkeerbesluit, bedoeld in artikel 3, punt 4, van de Terugkeerrichtlijn; Terugkeerrichtlijn: Richtlijn 2008/115/EG van het Europees Parlement en de Raad van 16 december 2008 over gemeenschappelijke normen en procedures in de lidstaten voor de terugkeer van onderdanen van derde landen die illegaal op hun grondgebied verblijven (PbEU 2008, L 348); tijdelijke bescherming: rechtmatig verblijf in de zin van artikel 8, onder f of h, van de vreemdeling wiens uitzetting in verband met een aanvraag als bedoeld in artikel 28 op grond van de richtlijn tijdelijke bescherming achterwege blijft; verblijf op reguliere gronden: het verblijf van een vreemdeling in Nederland op grond van deze wet anders dan op de gronden bedoeld in de artikelen 29 en 34; verdragsvluchteling: de vreemdeling die vluchteling is in de zin van het Vluchtelingenverdrag en op wie de bepalingen ervan van toepassing zijn; Verordening interoperabiliteit grenzen en visa: Verordening (EU) 2019/817 van het Europees Parlement en de Raad van 20 mei 2019 tot vaststelling van een kader voor interoperabiliteit tussen de Unie-informatiesystemen op het gebied van grenzen en visa en tot wijziging van Verordeningen (EG) nr. 767/2008, (EU) 2016/399, (EU) 2017/2226, (EU) 2018/1240, (EU) 2018/1726 en (EU) 2018/1861 van het Europees Parlement en de Raad, Beschikking 2004/512/EG van de Raad en Besluit 2008/633/JBZ van de Raad (PbEU 2019, L 135); Verordening interoperabiliteit politiële en justitiële samenwerking, asiel en migratie: Verordening (EU) 2019/818 van het Europees Parlement en de Raad van 20 mei 2019 tot vaststelling van een kader voor interoperabiliteit tussen de Unie-informatiesystemen op het gebied van politiële en justitiële samenwerking, asiel en migratie en tot wijziging van Verordeningen (EU) 2018/1726, (EU) 2018/1862 en (EU) 2019/816 (PbEU 2019, L 135); Vluchtelingenverdrag: het Verdrag van Genève van 1951 betreffende de status van vluchtelingen (Trb. 1954, 88) en het bijbehorende Protocol van New York van 1967 (Trb. 1967, 76); vreemdeling: ieder die de Nederlandse nationaliteit niet bezit en niet op grond van een wettelijke bepaling als Nederlander moet worden behandeld;"
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling1,Definities,Artikel1a,,,,Artikel 1a,,"In deze wet en de daarop berustende bepalingen wordt verstaan onder: annulering van een visum: intrekking van een visum met terugwerkende kracht tot en met het tijdstip van de verlening; machtiging tot voorlopig verblijf: visum voor de toegang tot Nederland voor verblijf van meer dan 90 dagen; terugkeervisum: visum voor de toegang tot Nederland van een vreemdeling die Nederland tijdelijk zal verlaten; visum: elk der visa voor toegang tot Nederland met het oog op verblijf van niet langer dan 90 dagen, afgegeven door of vanwege een bevoegde autoriteit als bedoeld in een bindend besluit van de Raad van de Europese Unie, van het Europees Parlement en de Raad gezamenlijk of van de Commissie van de Europese Gemeenschappen, alsmede de onder b en c bedoelde visa."
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling1,Definities,Artikel1b,,,,Artikel 1b,,Vervallen
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling2,De Adviesraad Migratie,Artikel2,,,,Artikel 2,,"Er is een Adviesraad Migratie. De adviesraad bestaat uit ten minste zeven leden. Ambtenaren die werkzaam zijn bij een ministerie of een daaronder ressorterende instelling, dienst of bedrijf, dan wel anderszins werkzaamheden verrichten in ondergeschiktheid aan Onze Ministers, worden niet tot lid benoemd. Als voorzitter wordt bij voorkeur een rechterlijk ambtenaar met rechtspraak belast benoemd. De adviesraad heeft tot taak Onze Minister te adviseren over het vreemdelingenrecht en het beleid ter zake, waaronder begrepen wijzigingen van deze wet. Bij algemene maatregel van bestuur worden regels gesteld over de inrichting en de werkwijze van de adviesraad. De adviesraad is bevoegd bij een ieder schriftelijk of mondeling de inlichtingen in te winnen welke zij voor de vervulling van haar taak nodig acht."
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling3,De referent,Paragraaf1,Algemeen,,,Artikel 2a,,"Ten behoeve van het verblijf van een vreemdeling in Nederland, niet zijnde een gemeenschapsonderdaan, kan in ieder geval als referent optreden: een Nederlander, die in Nederland verblijft of met die vreemdeling in Nederland gaat verblijven; een vreemdeling, die rechtmatig in Nederland verblijft op grond van artikel 8, onder a tot en met e of l, of die voor verblijf langer dan 90 dagen in Nederland mag verblijven en met die vreemdeling in Nederland gaat verblijven; een onderneming of rechtspersoon, dan wel een vestiging daarvan, die is ingeschreven in het handelsregister, bedoeld in artikel 2 van de Handelsregisterwet 2007, die ten behoeve van het voorgenomen verblijf op grond van een machtiging tot voorlopig verblijf of het verblijf op grond van een verblijfsvergunning als bedoeld in artikel 14 van een vreemdeling een schriftelijke verklaring heeft afgelegd, of die door Onze Minister als referent is aangewezen. Bij of krachtens algemene maatregel van bestuur: worden nadere regels gesteld omtrent de natuurlijke personen en organisaties, die als referent kunnen optreden; wordt ten aanzien van referenten voorzien in zorgplichten jegens de vreemdeling; kunnen regels worden gesteld omtrent de aanwijzing als referent. Onze Minister stelt het model van de verklaring, bedoeld in het eerste lid, vast."
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling3,De referent,Paragraaf1,Algemeen,,,Artikel 2b,,"Het referentschap eindigt in ieder geval, indien: ten behoeve van het verblijf van de vreemdeling in Nederland een ander als referent optreedt; de verblijfsvergunning van de vreemdeling is gewijzigd; de vreemdeling in het bezit is gesteld van een verblijfsvergunning voor onbepaalde tijd als bedoeld in artikel 20; de vreemdeling Nederlander wordt of krachtens enige wet als Nederlander moet worden behandeld; de referent aan Onze Minister overeenkomstig door Onze Minister gestelde regels naar waarheid mededeling heeft gedaan van de beëindiging van diens aan het referentschap ten grondslag liggende relatie tot de vreemdeling, dan wel van het definitieve vertrek van de vreemdeling uit Nederland; de vreemdeling is overleden. Onze Minister stelt de gewezen referent in kennis van de beëindiging van diens referentschap. Bij of krachtens algemene maatregel van bestuur worden nadere regels gesteld omtrent de beëindiging van het referentschap."
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling3,De referent,Paragraaf2,Erkenning als referent,,,Artikel 2c,,"Onze Minister is bevoegd: de aanvraag tot erkenning als referent in te willigen, af te wijzen, dan wel niet in behandeling te nemen, en de erkenning als referent te schorsen, in te trekken dan wel te wijzigen. De erkenning als referent houdt verband met het doel waarvoor de vreemdeling in Nederland wil verblijven. De erkenning als referent geldt voor onbepaalde tijd. De beschikking op een aanvraag omtrent de erkenning als referent wordt gegeven binnen drie maanden, welke termijn kan worden verlengd voor ten hoogste zes maanden, indien naar het oordeel van Onze Minister voor de beoordeling van de aanvraag advies van of onderzoek door derden of het openbaar ministerie, dan wel een verklaring omtrent het gedrag, afgegeven volgens de Wet justitiële en strafvorderlijke gegevens, nodig is. De aanvrager is in door Onze Minister te bepalen gevallen en volgens door Onze Minister te geven regels leges verschuldigd terzake van de afdoening van een aanvraag omtrent de erkenning als referent. Artikel 4:5, vierde lid, van de Algemene wet bestuursrecht is niet van toepassing. Onze Minister houdt een openbaar register van erkende referenten."
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling3,De referent,Paragraaf2,Erkenning als referent,,,Artikel 2d,,"Gegevens en bescheiden die van belang zijn voor de aanvraag omtrent de erkenning als referent, worden niet verkregen van de aanvrager, voor zover Onze Minister die gegevens of bescheiden kan verkrijgen uit bij regeling van Onze Minister aan te wijzen administraties, tenzij hierdoor een goede uitvoering van de wet wordt belet. Overeenkomstig bij regeling van Onze Minister gestelde regels verstrekt de aanvrager Onze Minister op diens verzoek en al dan niet in persoon alsnog de gegevens en bescheiden, die van belang zijn voor de beoordeling van de aanvraag. Bij regeling van Onze Minister wordt bepaald voor welke gegevens en bescheiden het eerste lid van toepassing is en kunnen administraties of delen daarvan worden aangewezen, waarvoor het eerste lid tijdelijk niet van toepassing is."
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling3,De referent,Paragraaf2,Erkenning als referent,,,Artikel 2e,,"Onze Minister kan de aanvraag tot erkenning als referent of tot wijziging van de erkenning als referent afwijzen, indien: de aanvrager, voor zover vereist op grond van de Handelsregisterwet 2007, niet is ingeschreven in het handelsregister, bedoeld in artikel 2 van die wet; de continuïteit en solvabiliteit van de onderneming, rechtspersoon of organisatie onvoldoende is gewaarborgd; de betrouwbaarheid van de aanvrager of van de direct of indirect bij die onderneming, rechtspersoon of organisatie betrokken natuurlijke of rechtspersonen of ondernemingen onvoldoende vast staat; de erkenning als referent van de aanvrager of van de direct of indirect bij die onderneming, rechtspersoon of organisatie betrokken rechtspersonen of ondernemingen binnen een periode van vijf jaar direct voorafgaand aan de aanvraag is ingetrokken; de aanvrager niet voldoet aan de vereisten die verband houden met het doel waarvoor de vreemdeling in Nederland verblijft of wil verblijven, waaronder in ieder geval kan worden verstaan de aansluiting bij en naleving van een gedragscode. Natuurlijke personen worden niet als referent erkend. Overeenkomstig bij regeling van Onze Minister gestelde regels, legt de aanvrager desgevraagd een verklaring omtrent het gedrag over, afgegeven volgens de Wet justitiële en strafvorderlijke gegevens."
BWBR0011823,Vreemdelingenwet 2000,Hoofdstuk1,Inleidende bepalingen,Afdeling3,De referent,Paragraaf2,Erkenning als referent,,,Artikel 2f,,"Onze Minister kan de erkenning als referent schorsen op grond van ernstige vermoedens dat er grond bestaat om toepassing te geven aan artikel 2g. De schorsing van de erkenning als referent eindigt op de dag na de dag waarop de beschikking omtrent de intrekking is bekendgemaakt of de dag waarop sedert de schorsing drie maanden zijn verstreken. De termijn, bedoeld in het tweede lid, kan worden verlengd, indien naar het oordeel van Onze Minister advies van of onderzoek door derden of het openbaar ministerie nodig is. Schorsing van de erkenning heeft tot gevolg dat de referent voor de duur van de schorsing niet als erkend referent wordt aangemerkt."
